Module	Section	Sample Name	Source
QualiMap	genome_results	SAMEA5818830	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818830/genome_results.txt
QualiMap	genome_results	SAMEA5818829	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818829/genome_results.txt
QualiMap	genome_results	SAMEA5818828	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818828/genome_results.txt
QualiMap	genome_results	SAMEA5818826	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818826/genome_results.txt
QualiMap	genome_results	SAMEA5818825	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818825/genome_results.txt
QualiMap	genome_results	SAMEA5818822	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818822/genome_results.txt
QualiMap	genome_results	SAMEA5818821	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818821/genome_results.txt
QualiMap	genome_results	SAMEA5818818	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818818/genome_results.txt
QualiMap	genome_results	SAMEA5818817	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818817/genome_results.txt
QualiMap	genome_results	SAMEA5818815	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818815/genome_results.txt
QualiMap	genome_results	SAMEA5818811	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818811/genome_results.txt
QualiMap	genome_results	SAMEA5818809	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818809/genome_results.txt
QualiMap	genome_results	SAMEA5818808	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818808/genome_results.txt
QualiMap	genome_results	SAMEA5818806	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818806/genome_results.txt
QualiMap	genome_results	SAMEA5818805	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818805/genome_results.txt
QualiMap	genome_results	SAMEA5818803	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818803/genome_results.txt
QualiMap	genome_results	SAMEA5818801	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818801/genome_results.txt
QualiMap	genome_results	SAMEA5818800	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818800/genome_results.txt
QualiMap	genome_results	SAMEA5818799	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818799/genome_results.txt
QualiMap	genome_results	SAMEA5818798	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5818798/genome_results.txt
QualiMap	genome_results	SAMEA5054093	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5054093/genome_results.txt
QualiMap	genome_results	SAMEA5054092	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5054092/genome_results.txt
QualiMap	genome_results	SAMEA5054090	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5054090/genome_results.txt
QualiMap	genome_results	SAMEA5054089	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA5054089/genome_results.txt
QualiMap	genome_results	SAMEA3937654	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA3937654/genome_results.txt
QualiMap	genome_results	SAMEA3937653	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA3937653/genome_results.txt
QualiMap	genome_results	SAMEA3713715	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA3713715/genome_results.txt
QualiMap	genome_results	SAMEA3713714	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA3713714/genome_results.txt
QualiMap	genome_results	SAMEA3713713	/2/scratch/keaton/plague-phylogeography/results/qualimap/sra/SAMEA3713713/genome_results.txt
