sample	strain	date	date_bp	country	province	country_lat	country_lon	province_lat	province_lon	biovar	branch_major	branch_minor	biosample_accession	biosample_comment	branch_number	continent	date_mean	date_bp_mean	date_err	lat	lon	host_human	sequencing_technology	assembly_method	host_raw	host_order	library_layout
Reference	CO92	1992	-29	United States of America	Colorado	39.7837304	-100.4458825	38.7251776	-105.607716	Orientalis	1.ORI	1.ORI1	SAMEA1705942	KEEP: Assembly Modern Reference	1	North America	1992	29	0	38.7251776	-105.607716	Human	NA	NA	Human	Human	NA
SAMN01853158	154/98 B	1998.0	-23	Madagascar	 Mahajanga	-18.9249604	46.4416422	-15.7181492	46.3172577	NA	NA	NA	SAMN01853158	TBD: SRA Modern	NA	Africa	1998.0	23.0	0.0	-15.7181492	46.3172577	Human	Illumina Genome Analyzer IIx	NA	Homo sapiens	Human	PAIRED
SAMN01853157	64/91	1991.0	-30	Madagascar	 Mahajanga	-18.9249604	46.4416422	-15.7181492	46.3172577	NA	NA	NA	SAMN01853157	TBD: SRA Modern	NA	Africa	1991.0	30.0	0.0	-15.7181492	46.3172577	Human	Illumina Genome Analyzer IIx	NA	Homo sapiens	Human	PAIRED
SAMN01853130	53/91	1991.0	-30	Madagascar	 Mahajanga	-18.9249604	46.4416422	-15.7181492	46.3172577	NA	NA	NA	SAMN01853130	TBD: SRA Modern	NA	Africa	1991.0	30.0	0.0	-15.7181492	46.3172577	Non-Human	Illumina Genome Analyzer IIx	NA	flea	Siphonaptera	PAIRED
SAMN01853159	17/99 B	1999.0	-22	Madagascar	 Mahajanga	-18.9249604	46.4416422	-15.7181492	46.3172577	NA	NA	NA	SAMN01853159	TBD: SRA Modern	NA	Africa	1999.0	22.0	0.0	-15.7181492	46.3172577	Human	Illumina Genome Analyzer IIx	NA	Homo sapiens	Human	PAIRED
SAMN01991273	2106	2001.0	-20	United States of America	New Mexico	39.7837304	-100.4458825	34.5708167	-105.993007	NA	NA	NA	SAMN01991273	TBD: SRA Modern	NA	North America	2001.0	20.0	0.0	34.5708167	-105.993007	Human	Illumina Genome Analyzer IIx	NA	Homo sapiens	Human	SINGLE
SAMN01991272	2055	1998.0	-23	United States of America	New Mexico	39.7837304	-100.4458825	34.5708167	-105.993007	NA	NA	NA	SAMN01991272	TBD: SRA Modern	NA	North America	1998.0	23.0	0.0	34.5708167	-105.993007	Human	Illumina Genome Analyzer IIx	NA	Homo sapiens	Human	SINGLE
SAMN01991271	2965	1995.0	-26	United States of America	New Mexico	39.7837304	-100.4458825	34.5708167	-105.993007	NA	NA	NA	SAMN01991271	TBD: SRA Modern	NA	North America	1995.0	26.0	0.0	34.5708167	-105.993007	Human	Illumina Genome Analyzer IIx	NA	Homo sapiens	Human	SINGLE
SAMN01991270	4412	1991.0	-30	United States of America	New Mexico	39.7837304	-100.4458825	34.5708167	-105.993007	NA	NA	NA	SAMN01991270	TBD: SRA Modern	NA	North America	1991.0	30.0	0.0	34.5708167	-105.993007	Human	Illumina Genome Analyzer IIx	NA	Homo sapiens	Human	SINGLE
SAMN01991269	4954	1987.0	-34	United States of America	New Mexico	39.7837304	-100.4458825	34.5708167	-105.993007	NA	NA	NA	SAMN01991269	TBD: SRA Modern	NA	North America	1987.0	34.0	0.0	34.5708167	-105.993007	Human	Illumina Genome Analyzer IIx	NA	Homo sapiens	Human	SINGLE
SAMN01991268	1901b	1983.0	-38	United States of America	New Mexico	39.7837304	-100.4458825	34.5708167	-105.993007	NA	NA	NA	SAMN01991268	TBD: SRA Modern	NA	North America	1983.0	38.0	0.0	34.5708167	-105.993007	Human	Illumina Genome Analyzer IIx	NA	Homo sapiens	Human	SINGLE
SAMN05731707	Yp3045	2009.0	-12	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN05731707	TBD: SRA Modern	NA	Africa	2009.0	12.0	0.0	-18.9249604	46.4416422	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN05731706	Yp3044	2009.0	-12	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN05731706	TBD: SRA Modern	NA	Africa	2009.0	12.0	0.0	-18.9249604	46.4416422	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN05731705	Yp3023	2008.0	-13	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN05731705	TBD: SRA Modern	NA	Africa	2008.0	13.0	0.0	-18.9249604	46.4416422	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN05731704	Yp3083	2012.0	-9	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN05731704	TBD: SRA Modern	NA	Africa	2012.0	9.0	0.0	-18.9249604	46.4416422	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN05731703	Yp3059	2011.0	-10	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN05731703	TBD: SRA Modern	NA	Africa	2011.0	10.0	0.0	-18.9249604	46.4416422	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN05731702	Yp3050	2010.0	-11	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN05731702	TBD: SRA Modern	NA	Africa	2010.0	11.0	0.0	-18.9249604	46.4416422	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN05731701	Yp2991	2007.0	-14	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN05731701	TBD: SRA Modern	NA	Africa	2007.0	14.0	0.0	-18.9249604	46.4416422	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN05731700	Yp2872	2004.0	-17	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN05731700	TBD: SRA Modern	NA	Africa	2004.0	17.0	0.0	-18.9249604	46.4416422	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN05731699	Yp3079	2012.0	-9	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN05731699	TBD: SRA Modern	NA	Africa	2012.0	9.0	0.0	-18.9249604	46.4416422	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN05731698	Yp3034	2008.0	-13	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN05731698	TBD: SRA Modern	NA	Africa	2008.0	13.0	0.0	-18.9249604	46.4416422	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN05731697	Yp3014	2007.0	-14	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN05731697	TBD: SRA Modern	NA	Africa	2007.0	14.0	0.0	-18.9249604	46.4416422	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN05731696	Yp2947	2006.0	-15	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN05731696	TBD: SRA Modern	NA	Africa	2006.0	15.0	0.0	-18.9249604	46.4416422	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN05731695	Yp2988	2007.0	-14	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN05731695	TBD: SRA Modern	NA	Africa	2007.0	14.0	0.0	-18.9249604	46.4416422	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN05731694	Yp3041	2009.0	-12	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN05731694	TBD: SRA Modern	NA	Africa	2009.0	12.0	0.0	-18.9249604	46.4416422	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN05731693	Yp2983	2007.0	-14	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN05731693	TBD: SRA Modern	NA	Africa	2007.0	14.0	0.0	-18.9249604	46.4416422	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN05731692	Yp2871	2004.0	-17	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN05731692	TBD: SRA Modern	NA	Africa	2004.0	17.0	0.0	-18.9249604	46.4416422	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN05731691	Yp3048	2009.0	-12	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN05731691	TBD: SRA Modern	NA	Africa	2009.0	12.0	0.0	-18.9249604	46.4416422	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN05731690	Yp3069	2011.0	-10	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN05731690	TBD: SRA Modern	NA	Africa	2011.0	10.0	0.0	-18.9249604	46.4416422	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN05731689	Yp3010	2007.0	-14	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN05731689	TBD: SRA Modern	NA	Africa	2007.0	14.0	0.0	-18.9249604	46.4416422	Non-Human	Illumina MiSeq	NA	Siphonaptera	Siphonaptera	PAIRED
SAMN05731688	Yp2905	2004.0	-17	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN05731688	TBD: SRA Modern	NA	Africa	2004.0	17.0	0.0	-18.9249604	46.4416422	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN05731687	Yp2856	2003.0	-18	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN05731687	TBD: SRA Modern	NA	Africa	2003.0	18.0	0.0	-18.9249604	46.4416422	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
SAMN05731686	Yp3017	2007.0	-14	Madagascar	NA	-18.9249604	46.4416422	NA	NA	NA	NA	NA	SAMN05731686	TBD: SRA Modern	NA	Africa	2007.0	14.0	0.0	-18.9249604	46.4416422	Human	Illumina MiSeq	NA	Homo sapiens	Human	PAIRED
