name,Africa,Asia,Europe,North America,South America
NODE0,0.00018754975765417984,0.47807131861646074,0.5215508803919617,8.021434701203574e-05,0.00011003688691117634
NODE1,8.701792843588869e-07,0.013086958147372376,0.9869114782476459,2.9377716565875056e-07,3.9964853179910526e-07
SAMEA3541827,0.0,0.0,1.0,0.0,0.0
NODE2,2.6069810096222285e-08,0.0003822313902846187,0.9996177195870599,1.02655542687469e-08,1.2687291055494495e-08
SAMEA104233046,0.0,0.0,0.9999999999999999,0.0,0.0
NODE3,1.298402275643182e-08,3.5133395401172874e-05,0.9999648406876948,6.031876066888973e-09,6.9010054221357255e-09
SAMEA104233047,0.0,0.0,1.0,0.0,0.0
NODE4,1.270039584946031e-08,2.6322957881320066e-05,0.9999736516274536,5.940615592269072e-09,6.773653617263833e-09
NODE5,1.2588976273658238e-08,2.4690347961010326e-05,0.9999752844365604,5.901390566902347e-09,6.725111825031922e-09
SAMEA6812876,0.0,0.0,1.0,0.0,0.0
SAMEA6812877,0.0,0.0,1.0,0.0,0.0
NODE6,1.2640029025305816e-08,2.5364446110016742e-05,0.9999746102470657,5.919486248347766e-09,6.747309035768689e-09
SAMEA104233049,0.0,0.0,0.9999999999999999,0.0,0.0
NODE7,1.2588000106981598e-08,2.466485617687259e-05,0.999975309930069,5.901072412931523e-09,6.724681614838383e-09
SAMEA104233048,0.0,0.0,0.9999999999999999,0.0,0.0
SAMEA3541826,0.0,0.0,0.9999999999999999,0.0,0.0
NODE8,2.161872276077276e-06,0.9433020988470736,0.05669436944181039,5.213521271408917e-07,8.484867128101182e-07
NODE9,2.541789466756082e-07,0.9982108689071478,0.0017887342935529668,5.1342595812881676e-08,9.127775671409393e-08
GCA_000323485.1_ASM32348v1_genomic,0.0,0.9999999999999999,0.0,0.0,0.0
GCA_000323845.1_ASM32384v1_genomic,0.0,0.9999999999999999,0.0,0.0,0.0
NODE10,2.6869249278813143e-07,0.9564552182890712,0.0435443620273397,5.504956143278448e-08,9.594153490771816e-08
NODE11,1.9731872928649287e-06,0.9277041096268389,0.0722926672517327,4.7582084449725935e-07,7.741132910765155e-07
NODE12,8.284526735965006e-07,0.02539053733516985,0.9746079777747714,2.7764364900826693e-07,3.7879373616837635e-07
GCA_001294825.1_ASM129482v1_genomic,0.0,0.0,1.0,0.0,0.0
NODE13,3.6865998588243424e-08,0.0007385601490073209,0.9992613715035871,1.386542446968267e-08,1.7615982469897352e-08
NODE14,1.3373678943700163e-08,4.605178577018531e-05,0.9999539216043991,6.161003228505546e-09,7.075148405145924e-09
NODE15,1.2607740615956661e-08,2.521503792113076e-05,0.9999747597132689,5.907543775144571e-09,6.733525582859479e-09
GCA_002127355.1_ASM212735v1_genomic,0.0,0.0,0.9999999999999999,0.0,0.0
GCA_002127365.1_ASM212736v1_genomic,0.0,0.0,0.9999999999999999,0.0,0.0
NODE16,1.2658856686601724e-08,2.5903080542041582e-05,0.9999740715792025,5.925654044630607e-09,6.755744725363766e-09
GCA_001972465.1_ASM197246v1_genomic,0.0,0.0,0.9999999999999999,0.0,0.0
NODE17,1.2588513448974143e-08,2.467918120949857e-05,0.9999752956041246,5.901240685354148e-09,6.724911700458298e-09
GCA_001972385.1_ASM197238v1_genomic,0.0,0.0,1.0,0.0,0.0
GCA_001972405.1_ASM197240v1_genomic,0.0,0.0,1.0,0.0,0.0
NODE18,1.332090764673844e-08,4.487600019840992e-05,0.9999550974838958,6.14257441682588e-09,7.052423714170074e-09
GCA_006376585.1_ASM637658v1_genomic,0.0,0.0,1.0,0.0,0.0
NODE19,1.2709753175245517e-08,2.6596733163645867e-05,0.9999733778355623,5.943677909991656e-09,6.777842885084959e-09
NODE20,1.2589236698045667e-08,2.4697629039415362e-05,0.9999752771550193,5.901475961870886e-09,6.725228592027643e-09
GCA_001601675.1_ASM160167v1_genomic,0.0,0.0,1.0,0.0,0.0
GCA_002127375.1_ASM212737v1_genomic,0.0,0.0,1.0,0.0,0.0
NODE21,1.2640998785114541e-08,2.539034321068884e-05,0.9999745843482527,5.9198019249248725e-09,6.747735951812769e-09
GCA_008630415.1_ASM863041v1_genomic,0.0,0.0,1.0,0.0,0.0
NODE22,1.2639074439694807e-08,2.5338983881247463e-05,0.9999746357109801,5.919175472460075e-09,6.746888820704965e-09
GCA_008630455.1_ASM863045v1_genomic,0.0,0.0,1.0,0.0,0.0
NODE23,1.2587975689822579e-08,2.466417900637437e-05,0.9999753106072827,5.9010644229497655e-09,6.724670698923638e-09
GCA_001972395.1_ASM197239v1_genomic,0.0,0.0,1.0,0.0,0.0
GCA_002165475.1_ASM216547v1_genomic,0.0,0.0,1.0,0.0,0.0
NODE24,2.8600935304636853e-07,0.9975757436107817,0.002423807919497084,5.888345541302495e-08,1.0357691290957736e-07
NODE25,1.419757539546739e-07,0.9998894662606735,0.00011031933056890478,2.4634754367642544e-08,4.7798249234076965e-08
NODE26,1.3591585614067594e-07,0.9999671857988253,3.2609299279564346e-05,2.335024743930116e-08,4.5635791534794344e-08
GCA_001295055.1_ASM129505v1_genomic,0.0,1.0,0.0,0.0,0.0
NODE27,1.3573357647132168e-07,0.9999696776098056,3.0117778181066857e-05,2.33097075977378e-08,4.556872906029717e-08
GCA_001294985.1_ASM129498v1_genomic,0.0,1.0,0.0,0.0,0.0
NODE28,1.3572171782086438e-07,0.9999697873152746,3.0008090110332232e-05,2.3307707702800037e-08,4.556518953229385e-08
GCA_003074435.1_ASM307443v1_genomic,0.0,0.9999999999999999,0.0,0.0,0.0
NODE29,1.349315712775841e-07,0.9999707228222374,2.907364703103056e-05,2.3222284752888278e-08,4.5376875575947034e-08
