#name, A, B, C, D, E, F, G, H, I, J
NODE_0000000, 3.875839114489626e-05, 7.39881031173582e-05, 0.9289374680656035, 4.62262917022976e-05, 5.0312873853490466e-05, 1.9390482660202423e-05, 2.100062641665321e-05, 3.5562912939565426e-05, 0.07019714646047956, 0.0005801457920824016
NODE_0000001, 2.024963496153321e-07, 4.536882328798141e-07, 0.9956186248031761, 2.836494211959038e-07, 2.3347852226110006e-07, 7.177341437471258e-08, 7.780458755519244e-08, 1.867494181718434e-07, 0.004373251647240991, 6.613909636918671e-06
SAMEA3541827, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000002, 3.7336159834991115e-08, 5.89449618631918e-08, 0.9993119971418665, 6.570083910189739e-08, 2.5778302100392183e-08, 1.4358690662142214e-08, 1.6762879551737162e-08, 4.04285664943933e-08, 0.0006872556813288538, 4.878664050588989e-07
SAMEA104233046, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000003, 3.360262268171561e-08, 4.882583700898405e-08, 0.9995152688730573, 6.118561538916234e-08, 2.0492999148963376e-08, 1.3170130970677247e-08, 1.5553796185802645e-08, 3.7361392041174515e-08, 0.00048420076154833926, 3.001730008587372e-07
SAMEA104233047, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000004, 3.387722757896554e-08, 4.948648192560527e-08, 0.9995020339407624, 6.15851136685315e-08, 2.0824444532495158e-08, 1.325633841088416e-08, 1.5644903185076267e-08, 3.760954282043963e-08, 0.0004974228775640139, 3.1089762138971765e-07
NODE_0000005, 3.288881081612953e-08, 4.697946813247181e-08, 0.9995533669164844, 6.026829023285126e-08, 1.9535630352961552e-08, 1.2942174975925389e-08, 1.531914214185219e-08, 3.6755685767407414e-08, 0.00044613958899877116, 2.688053142175561e-07
SAMEA6812876, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
SAMEA6812877, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000006, 3.337404117283605e-08, 4.820213287389095e-08, 0.9995287133241031, 6.091692181402859e-08, 2.0162015298122994e-08, 1.309660514134503e-08, 1.5479439016219808e-08, 3.7175856748374866e-08, 0.00047076944546258116, 2.888234222650822e-07
SAMEA104233049, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000007, 3.2863909063264656e-08, 4.691254788861016e-08, 0.9995547673109967, 6.023872293299104e-08, 1.950035510100749e-08, 1.2934145657563057e-08, 1.5311004510009528e-08, 3.673535408365029e-08, 0.00044474053455551124, 2.676584084675586e-07
SAMEA104233048, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
SAMEA3541826, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000008, 9.71647874761342e-07, 4.035911710810329e-06, 0.8741699682912235, 9.402951824147127e-07, 2.7180361852896988e-06, 2.8982796281815687e-07, 2.7587692929343443e-07, 6.840574410575146e-07, 0.12558301944643468, 0.00023709660905536754
NODE_0000009, 1.2577995007651148e-06, 4.3779951741888645e-06, 0.8428666568157177, 1.305976749912639e-06, 2.664339456499932e-06, 3.8746701205922685e-07, 3.769943947302301e-07, 9.356356840886377e-07, 0.15696699187196686, 0.00015504510434332028
