name,Algeria,Armenia,Azerbaijan,Bolivia,Brazil,Canada,China,Democratic Republic of the Congo,England,Estonia,France,Georgia,Germany,India,Indonesia,Iran,Italy,Kazakhstan,Kenya,Kyrgyzstan,Lithuania,Madagascar,Mongolia,Myanmar,Nepal,Norway,Peru,Poland,Russia,Spain,Switzerland,Tajikistan,The Netherlands,Turkmenistan,Uganda,United States of America,Uzbekistan,Vietnam,Zimbabwe
NODE0,0.002205414002503597,0.004183288432354862,0.006641454574134167,0.0021115446341363974,0.002151931605287105,0.0017984477146323536,0.003173818765835052,0.002640629561515559,0.004586324591550961,0.0020014668076327566,0.0036259300005494007,0.004850098045332542,0.007640962991642192,0.003991831673217495,0.002815363439398384,0.0031442076998340397,0.0016890273757420363,0.009715415701541193,0.002491834150265156,0.004947156475428548,0.002855689810261843,0.004098971176676248,0.0045535671593080265,0.0017683872876552414,0.001751404901082036,0.001624284260816417,0.003563932317317166,0.0015302974150304398,0.873415993909779,0.0018330001028770138,0.002284032583404785,0.0034154192307876683,0.003235034888180012,0.0030894829568100103,0.0015899030830586473,0.004757268889754574,0.00228834996525482,0.0037571055714488975,0.0021817262479634112
NODE1,0.002306753458810721,0.004083874067501791,0.0063782393062732645,0.002214551627416558,0.0022535915020529896,0.0018983436177450169,0.0010684568052311393,0.00274554958467852,0.005119532529236917,0.0021235196353682085,0.0037058027877891983,0.004313125668095762,0.010019678365993928,0.004003550321176215,0.002906127407314485,0.0032683850184779878,0.0017972497280790826,0.007922204429889484,0.002599572039929073,0.003862932078835047,0.0030084673651687285,0.004250314920519507,0.0032612342806658963,0.0018693515612207775,0.0018515079374556971,0.0017300891147733364,0.0023979951588302406,0.0016273386685819698,0.8766356935549776,0.0019518634411868781,0.002399509180222726,0.0034960378830383642,0.003393319025912438,0.0031817329912063874,0.001688055183979648,0.004239673066648218,0.0023922137753639105,0.0037513351136144956,0.0022832277967380424
SAMEA3541827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE2,0.010692725812924901,0.01459807626327804,0.01584896981638182,0.010280067129288903,0.010451134423967631,0.00874297507972857,0.0004036191817913472,0.012744168412267302,0.02360291461958069,0.010549603302356703,0.01628178311829087,0.011071191831431241,0.08934970616732868,0.01567986796549696,0.013116882039803646,0.014351268567123028,0.008487058799631048,0.00795254818476561,0.01215585468034503,0.007363963099267762,0.02721362806219317,0.016227440367323116,0.004792207899039506,0.008642730703755656,0.008539656759221437,0.008143486294212394,0.0035818363956931325,0.00768560565371399,0.48120548108700084,0.009477937957218099,0.011443383049975163,0.014768857963029045,0.015574837688635617,0.013924581312127106,0.007779613981274907,0.011075286463132243,0.011046476238593951,0.014566331902337774,0.010586241726473133
SAMEA104233046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE3,0.009481259356989825,0.006424948316845456,0.00607265346883063,0.009453687006342878,0.009449434699717731,0.008926189509385398,1.306024800202239e-05,0.010217292507150684,0.022469650132941582,0.03410995839920715,0.0108568220255309,0.0030574365621129623,0.2043920589583152,0.008224782874226226,0.00934532372051709,0.00986229487614147,0.01012517939978406,0.002058241877733419,0.01032393131504028,0.0013794614213873046,0.012353252224530504,0.009353951894554865,0.0006931446974416331,0.008961605399991562,0.008867818070700594,0.00985776903109527,0.00038955125794577566,0.008397141914856509,0.4630134278578026,0.012006668937955722,0.011108264201087951,0.008894223537484112,0.012470009795198566,0.00951309891207531,0.008549348124142226,0.003119930646981356,0.009495851992181859,0.007242883318663063,0.009468391509108255
SAMEA104233047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE4,0.009481230885851852,0.006424908160199155,0.00607262685808587,0.009453660592145086,0.00944940744619536,0.008926171983685914,1.3059976127679361e-05,0.010217256851098332,0.022469636299424566,0.03410967484444852,0.010856777864769167,0.0030574108875395254,0.20439284573880323,0.008224741119094653,0.009345285190164768,0.009862257670569178,0.01012517099606969,0.0020582332010901207,0.010323898267618536,0.0013794468580102049,0.012353206193259043,0.00935391832704107,0.0006931372716411755,0.008961588779824678,0.008867802106907935,0.009857762836883494,0.0003895451305466361,0.008397133741639267,0.46301381687539517,0.012006660714671264,0.011108237001177478,0.00889418323076262,0.012469976104904933,0.009513059113041827,0.008549337867555906,0.0031199045883060837,0.009495821932997993,0.0072428429232720935,0.00946836356918001
NODE5,4.942881847869305e-06,1.9992378370520944e-06,4.8364846778202154e-06,5.14653397013609e-06,5.051041573703132e-06,5.78934402771392e-06,6.853794396844392e-08,4.293467344914248e-06,1.5604412639084518e-05,8.267311155235482e-06,3.2400727899245318e-06,9.470906220878252e-07,3.486476444888085e-05,3.188861892589969e-06,3.862734929753499e-06,4.748435865053903e-06,6.5294996907607595e-06,6.5719180440164624e-06,4.577028785038551e-06,5.152015406528938e-07,4.714830973484749e-06,5.6056513036240825e-06,5.591724818048521e-07,5.90509046789161e-06,5.915319378706943e-06,6.650434722295913e-06,1.950874374792318e-07,6.511847428169166e-06,0.9997945938789476,6.5208268167582065e-06,5.166523466390584e-06,3.5854661661690793e-06,5.563894133587842e-06,3.986061724762506e-06,6.355035864159205e-06,9.577658299539827e-07,4.778924145508734e-06,2.3987357249283926e-06,4.990591360235222e-06
SAMEA6812876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
