name,0.ANT,0.PE,0.PRE,1.ANT,1.IN,1.ORI,1.PRE,2.ANT,2.MED,3.ANT,4.ANT
NODE0,0.000393917504674742,0.49868773458884186,0.49886190540937714,0.0002535976570020858,0.0002504153570092299,0.00027534416650150346,0.00024879177110772465,0.00025390404302729353,0.00027000945006128835,0.0002521900262196245,0.00025219002617735814
NODE1,6.15754307786808e-07,0.0005841685269041776,0.9994119765730838,4.0111241455125645e-07,3.947947480663812e-07,4.310285302268306e-07,3.922803632455089e-07,3.998066324671605e-07,4.2277610086181835e-07,3.9867345757106416e-07,3.9867345750384866e-07
SAMEA3541827,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE2,1.3268626860324974e-09,6.858500792876418e-07,0.9999993045584453,1.024788421367664e-09,1.0075460734833498e-09,1.0978508830181638e-09,1.0010768958554492e-09,1.0199439737318512e-09,1.0768025570613622e-09,1.0183018351332426e-09,1.0183018349606553e-09
SAMEA104233046,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE3,4.866827807551613e-10,2.3522176671044883e-09,0.9999999933337607,4.740090009601919e-10,4.664457193878208e-10,5.094692564276767e-10,4.633834215172457e-10,4.723540373627806e-10,4.996074077653906e-10,4.710349957026312e-10,4.710349956226237e-10
SAMEA104233047,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE4,4.859861767155431e-10,1.5533800632461284e-09,0.999999994135987,4.736744141951278e-10,4.661173154040513e-10,5.091132051934037e-10,4.6305697401396806e-10,4.720218167870218e-10,4.992580023342999e-10,4.707025113220847e-10,4.707025112421344e-10
NODE5,4.852206221663624e-10,1.5487984866013055e-09,0.9999999941473868,4.729217280772866e-10,4.653790069230092e-10,5.083124136687114e-10,4.623234639549182e-10,4.712750700212685e-10,4.984725447692542e-10,4.699549722517374e-10,4.699549721719138e-10
SAMEA6812876,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAMEA6812877,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE6,4.85602579888541e-10,1.5506187041907705e-09,0.9999999941421629,4.732974796192692e-10,4.657475816787385e-10,5.087121830178888e-10,4.626896431287838e-10,4.71647857585246e-10,4.988646589629259e-10,4.703281543471491e-10,4.703281542672621e-10
SAMEA104233049,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE7,4.852203194895544e-10,1.5487952510199695e-09,0.9999999941473928,4.729214282280094e-10,4.6537871373110444e-10,5.083120978527989e-10,4.6232317264897614e-10,4.71274773836577e-10,4.984722349351001e-10,4.699546746199686e-10,4.69954674540145e-10
SAMEA104233048,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAMEA3541826,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE8,8.851577872875801e-07,0.9994329683568076,0.0005630493985907752,3.835002143007099e-07,3.775314924579002e-07,4.1198491582909205e-07,3.7516499016764484e-07,3.8231639359230207e-07,4.041695907047697e-07,3.8120960865897503e-07,3.8120960859517725e-07
NODE9,2.9646722053052587e-09,0.9999993539575842,6.35546700569019e-07,9.33671982508217e-10,9.183534281696401e-10,9.996196312625317e-10,9.127469388880269e-10,9.29648511978482e-10,9.808814788221337e-10,9.280605235620025e-10,9.280605234073059e-10
GCA_000323485.1_ASM32348v1_genomic,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCA_000323845.1_ASM32384v1_genomic,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE10,5.763357063238301e-09,0.9999993482528989,6.384214437012481e-07,9.373162770447223e-10,9.219284084433735e-10,1.003484625780183e-09,9.168486847909199e-10,9.334880555619799e-10,9.849090298678673e-10,9.321626599694056e-10,9.321626598140914e-10
NODE11,1.48846866316334e-09,0.9999999928274853,2.2127887429034845e-09,4.298096758274224e-10,4.2319274828634617e-10,4.615765216009788e-10,4.2060327823124673e-10,4.285533743792418e-10,4.529105793859627e-10,4.273055934186469e-10,4.2730559334768586e-10
NODE12,1.4814619852764649e-09,0.9999999935619434,1.4930275510460468e-09,4.28854056887428e-10,4.2225471633134614e-10,4.6056047365643303e-10,4.1967004285984114e-10,4.27604244658723e-10,4.5191298377632143e-10,4.2635528629251184e-10,4.2635528622170844e-10
GCA_001294825.1_ASM129482v1_genomic,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NODE13,1.4831157200298555e-09,0.9999999935567953,1.4939062079526648e-09,4.2917919500643117e-10,4.2257388728072307e-10,4.6090601578439717e-10,4.199874045881153e-10,4.279270959300444e-10,4.5225220899291834e-10,4.266784613461166e-10,4.266784612752604e-10
