ID	LENGTH	ALIGNED	UNALIGNED	VARIANT	HET	MASKED	LOWCOV
GCA_000006645.1_ASM664v1_genomic	4829855	4323306	102191	232	602	393247	10509
GCA_000013825.1_ASM1382v1_genomic	4829855	4385687	33293	197	390	393247	17238
GCA_000022805.1_ASM2280v1_genomic	4829855	4421668	8829	154	393	393247	5718
GCA_000022825.1_ASM2282v1_genomic	4829855	4420061	9148	181	282	393247	7117
GCA_000022845.1_ASM2284v1_genomic	4829855	4282369	148578	75	315	393247	5346
GCA_000168235.2_ASM16823v2_genomic	4829855	4402778	23437	59	316	393247	10077
GCA_000169615.1_ASM16961v1_genomic	4829855	4278716	136193	194	507	393247	21192
GCA_000169635.1_ASM16963v1_genomic	4829855	4416512	15027	72	320	393247	4749
GCA_000169655.1_ASM16965v1_genomic	4829855	4273326	146901	171	608	393247	15773
GCA_000169675.1_ASM16967v1_genomic	4829855	4397644	26409	129	414	393247	12141
GCA_000170275.1_ASM17027v1_genomic	4829855	4395709	30354	55	352	393247	10193
GCA_000181455.2_ASM18145v2_genomic	4829855	4432382	1586	28	137	393247	2503
GCA_000182485.1_ASM18248v1_genomic	4829855	4239337	185247	177	431	393247	11593
GCA_000182505.1_ASM18250v1_genomic	4829855	4327491	104947	45	322	393247	3848
GCA_000182525.1_ASM18252v1_genomic	4829855	4363645	68603	65	226	393247	4134
GCA_000182705.1_ASM18270v1_genomic	4829855	4291346	132734	211	579	393247	11949
GCA_000222975.1_ASM22297v1_genomic	4829855	4272995	160636	35	83	393247	2894
GCA_000268325.1_ASM26832v1_genomic	4829855	4351714	13186	69	150	393247	71558
GCA_000268345.1_ASM26834v1_genomic	4829855	4376331	9010	60	152	393247	51115
GCA_000268365.1_ASM26836v1_genomic	4829855	4366042	14835	47	90	393247	55641
GCA_000268385.1_ASM26838v1_genomic	4829855	4376402	12491	51	112	393247	47603
GCA_000268405.1_ASM26840v1_genomic	4829855	4364532	13654	48	117	393247	58305
GCA_000268425.1_ASM26842v1_genomic	4829855	4356764	18224	45	91	393247	61529
GCA_000268445.1_ASM26844v1_genomic	4829855	4362746	14484	46	81	393247	59297
GCA_000268545.1_ASM26854v1_genomic	4829855	4358888	12431	53	180	393247	65109
GCA_000268565.1_ASM26856v1_genomic	4829855	4314029	20201	53	165	393247	102213
GCA_000268585.1_ASM26858v1_genomic	4829855	4361972	16585	49	132	393247	57919
GCA_000268605.1_ASM26860v1_genomic	4829855	4341693	21089	44	94	393247	73732
GCA_000275685.1_ASM27568v1_genomic	4829855	4378750	35441	184	570	393247	21847
GCA_000320445.1_ASM32044v1_genomic	4829855	4108733	157930	135	128	393247	169817
GCA_000320465.1_ASM32046v1_genomic	4829855	4165521	152084	110	124	393247	118879
GCA_000323185.1_ASM32318v1_genomic	4829855	4127641	136537	196	106	393247	172324
GCA_000323205.1_ASM32320v1_genomic	4829855	4199959	77468	165	241	393247	158940
GCA_000323225.1_ASM32322v1_genomic	4829855	4234121	75503	164	295	393247	126689
GCA_000323245.1_ASM32324v1_genomic	4829855	3706400	234159	158	343	393247	495706
GCA_000323285.1_ASM32328v1_genomic	4829855	4290573	40821	56	93	393247	105121
GCA_000323305.1_ASM32330v1_genomic	4829855	4059581	200191	117	99	393247	176737
GCA_000323325.1_ASM32332v1_genomic	4829855	4152137	81447	119	113	393247	202911
GCA_000323345.1_ASM32334v1_genomic	4829855	4029380	181631	119	113	393247	225484
GCA_000323365.1_ASM32336v1_genomic	4829855	4232256	64147	147	135	393247	140070
GCA_000323385.1_ASM32338v1_genomic	4829855	3982238	100474	97	115	393247	353781
GCA_000323405.1_ASM32340v1_genomic	4829855	4208109	80859	91	92	393247	147548
GCA_000323425.1_ASM32342v1_genomic	4829855	4182083	73496	156	131	393247	180898
GCA_000323445.1_ASM32344v1_genomic	4829855	4206346	70988	53	165	393247	159109
GCA_000323465.1_ASM32346v1_genomic	4829855	3973571	311433	122	147	393247	151457
GCA_000323505.1_ASM32350v1_genomic	4829855	4284100	39458	87	108	393247	112942
GCA_000323525.1_ASM32352v1_genomic	4829855	4092382	95022	88	97	393247	249107
GCA_000323545.1_ASM32354v1_genomic	4829855	4148269	110522	50	100	393247	177717
GCA_000323565.1_ASM32356v1_genomic	4829855	4026271	235420	126	189	393247	174728
GCA_000323585.1_ASM32358v1_genomic	4829855	4147546	146585	120	175	393247	142302
GCA_000323605.1_ASM32360v1_genomic	4829855	4266467	51153	53	117	393247	118871
GCA_000323645.1_ASM32364v1_genomic	4829855	4081509	212001	118	230	393247	142868
GCA_000323665.1_ASM32366v1_genomic	4829855	3880318	345306	147	158	393247	210826
GCA_000323685.1_ASM32368v1_genomic	4829855	4051958	203489	53	121	393247	181040
GCA_000323705.1_ASM32370v1_genomic	4829855	4236997	71126	88	116	393247	128369
GCA_000323725.1_ASM32372v1_genomic	4829855	3999185	181503	118	176	393247	255744
GCA_000323745.1_ASM32374v1_genomic	4829855	3931688	262308	51	75	393247	242537
GCA_000323765.1_ASM32376v1_genomic	4829855	4254247	26408	83	91	393247	155862
GCA_000323785.1_ASM32378v1_genomic	4829855	4261473	33476	52	64	393247	141595
GCA_000323805.1_ASM32380v1_genomic	4829855	4156760	73520	49	179	393247	206149
GCA_000323825.1_ASM32382v1_genomic	4829855	4073505	192705	48	129	393247	170269
GCA_000323865.1_ASM32386v1_genomic	4829855	4044229	162879	49	160	393247	229340
GCA_000323885.1_ASM32388v1_genomic	4829855	4160227	119695	51	120	393247	156566
GCA_000323905.1_ASM32390v1_genomic	4829855	4112843	91838	108	135	393247	231792
GCA_000323925.1_ASM32392v1_genomic	4829855	4086385	151772	103	94	393247	198357
GCA_000323945.1_ASM32394v1_genomic	4829855	3791698	107958	115	186	393247	536766
GCA_000323965.1_ASM32396v1_genomic	4829855	4112836	148750	43	100	393247	174922
GCA_000323985.1_ASM32398v1_genomic	4829855	3824855	321498	27	49	393247	290206
GCA_000324005.1_ASM32400v1_genomic	4829855	4028831	238002	99	319	393247	169456
GCA_000324025.1_ASM32402v1_genomic	4829855	4253922	62086	96	267	393247	120333
GCA_000324065.1_ASM32406v1_genomic	4829855	3877528	323814	70	59	393247	235207
GCA_000324085.1_ASM32408v1_genomic	4829855	3917740	272723	41	90	393247	246055
GCA_000324105.1_ASM32410v1_genomic	4829855	4020969	212888	44	106	393247	202645
GCA_000324125.1_ASM32412v1_genomic	4829855	4162280	83221	88	126	393247	190981
GCA_000324145.1_ASM32414v1_genomic	4829855	4261696	45706	86	101	393247	129105
GCA_000324165.1_ASM32416v1_genomic	4829855	4174654	95773	65	85	393247	166096
