sample	lat	lon
GCA_009909635.1_ASM990963v1_genomic	47.6222451	40.7957942
GCA_009296005.1_ASM929600v1_genomic	43.39761470000001	45.6985005
GCA_008630485.1_ASM863048v1_genomic	43.44282860000001	43.4204809
GCA_008630435.1_ASM863043v1_genomic	43.7368326	41.7267991
GCA_008630395.1_ASM863039v1_genomic	43.0883099	47.14988017944229
GCA_008630575.1_ASM863057v1_genomic	41.17390635	45.25441108731086
GCA_008630375.1_ASM863037v1_genomic	43.7368326	41.7267991
GCA_008630375.2_ASM863037v2_genomic	43.7368326	41.7267991
GCA_000169655.1_ASM16965v1_genomic	42.4804953	85.4633464
GCA_006376575.1_ASM637657v1_genomic	43.7368326	41.7267991
GCA_006376535.1_ASM637653v1_genomic	43.1655309	44.979682
GCA_006376535.2_ASM637653v2_genomic	43.1655309	44.979682
GCA_006376495.1_ASM637649v1_genomic	40.606553399999996	46.70500981655712
GCA_006376475.1_ASM637647v1_genomic	40.3754434	49.8326748
GCA_006376435.1_ASM637643v1_genomic	40.86764505	46.01391106445903
GCA_006376415.1_ASM637641v1_genomic	44.86325770000001	43.4406913
GCA_003086155.1_ASM308615v1_genomic	49.5568479	50.2227409
GCA_001617725.1_Yersinia_pestis_M-1484_genomic	47.1878186	47.608851
GCA_001617705.1_Yersinia_pestis_C-791_genomic	43.0883099	47.14988017944229
GCA_004023595.1_ASM402359v1_genomic	42.4804953	85.4633464
GCA_004023585.1_ASM402358v1_genomic	42.4804953	85.4633464
GCA_003074335.1_ASM307433v1_genomic	40.606553399999996	46.70500981655712
GCA_003074375.1_ASM307437v1_genomic	40.3754434	49.8326748
GCA_003074355.1_ASM307435v1_genomic	39.58356755	47.3806998083944
GCA_003074295.1_ASM307429v1_genomic	46.80226270000001	61.6597098
GCA_003074275.1_ASM307427v1_genomic	43.44282860000001	43.4204809
GCA_003085995.1_ASM308599v1_genomic	46.2313018	45.3275745
GCA_003085975.1_ASM308597v1_genomic	50.7114101	86.8572186
GCA_003086055.1_ASM308605v1_genomic	47.1878186	47.608851
GCA_002412305.1_Y.pestis_A-1809_genomic	42.4451869	72.14310491939636
GCA_003086095.1_ASM308609v1_genomic	42.31469620000001	69.5883282
GCA_003086115.1_ASM308611v1_genomic	45.2351691	77.27418709999998
GCA_003086075.1_ASM308607v1_genomic	42.0	64.0
GCA_003085855.1_ASM308585v1_genomic	47.1878186	47.608851
GCA_001559935.1_ASM155993v1_genomic	43.44282860000001	43.4204809
GCA_001617815.1_Yersinia_pestis_M-1453_genomic	47.660582700000006	50.806203
GCA_001617805.1_Yersinia_pestis_173_genomic	43.3338178	52.85319112908714
GCA_001617785.1_Yersinia_pestis_M-549_genomic	39.9353714	54.91200550000001
GCA_001617715.1_Yersinia_pestis_M-519_genomic	39.9353714	54.91200550000001
GCA_001617735.1_Yersinia_pestis_M-1763_genomic	47.1878186	47.608851
GCA_001613895.1_ASM161389v1_genomic	39.9353714	54.91200550000001
GCA_001613885.1_ASM161388v1_genomic	46.2313018	45.3275745
GCA_001613865.1_ASM161386v1_genomic	43.1655309	44.979682
GCA_001595585.1_ASM159558v1_genomic	46.2313018	45.3275745
GCA_000970105.1_ASM97010v1_genomic	35.672803	47.0124376
GCA_001188735.1_ASM118873v1_genomic	40.3754434	49.8326748
GCA_001188815.1_ASM118881v1_genomic	43.44282860000001	43.4204809
GCA_001261975.1_YPW_8_IHQD_genomic	35.672803	47.0124376
GCA_000006645.1_ASM664v1_genomic	35.672803	47.0124376
GCA_000182705.1_ASM18270v1_genomic	35.672803	47.0124376
GCA_000325345.1_ASM32534v1_genomic	36.0	109.0
GCA_000325325.1_ASM32532v1_genomic	36.0	109.0
GCA_000325125.1_ASM32512v1_genomic	37.0000001	105.9999999
GCA_000325105.1_ASM32510v1_genomic	38.0000001	101.9999999
GCA_000325085.1_ASM32508v1_genomic	36.0	109.0
GCA_000325065.1_ASM32506v1_genomic	39.0000001	116.0
GCA_000325045.1_ASM32504v1_genomic	43.2443242	114.3251664
GCA_000325025.1_ASM32502v1_genomic	43.2443242	114.3251664
GCA_000325005.1_ASM32500v1_genomic	37.0000001	105.9999999
GCA_000324985.1_ASM32498v1_genomic	42.4804953	85.4633464
GCA_000324945.1_ASM32494v1_genomic	42.9995032	125.9816054
GCA_000324605.1_ASM32460v1_genomic	43.2443242	114.3251664
GCA_000324485.1_ASM32448v1_genomic	43.2443242	114.3251664
GCA_000324445.1_ASM32444v1_genomic	43.2443242	114.3251664
GCA_000324025.1_ASM32402v1_genomic	37.0000001	105.9999999
GCA_000324005.1_ASM32400v1_genomic	35.40709525	95.95211573241954
GCA_000323945.1_ASM32394v1_genomic	43.2443242	114.3251664
GCA_000323725.1_ASM32372v1_genomic	42.4804953	85.4633464
GCA_000323645.1_ASM32364v1_genomic	42.4804953	85.4633464
GCA_000323565.1_ASM32356v1_genomic	42.4804953	85.4633464
GCA_000323245.1_ASM32324v1_genomic	42.4804953	85.4633464
GCA_000323225.1_ASM32322v1_genomic	42.4804953	85.4633464
GCA_000323205.1_ASM32320v1_genomic	42.4804953	85.4633464
GCA_000275685.1_ASM27568v1_genomic	42.4804953	85.4633464
GCA_016103005.1_ASM1610300v1_genomic	47.1878186	47.608851
GCA_016102975.1_ASM1610297v1_genomic	49.5568479	50.2227409
GCA_016102965.1_ASM1610296v1_genomic	47.660582700000006	50.806203
GCA_016102905.1_ASM1610290v1_genomic	46.2313018	45.3275745
