ID	LENGTH	ALIGNED	UNALIGNED	VARIANT	HET	MASKED	LOWCOV
GCA_000006645.1_ASM664v1_genomic	4829855	4297472	101287	231	553	420126	10417
GCA_000007885.1_ASM788v1_genomic	4829855	4337827	51412	433	722	420126	19768
GCA_000013825.1_ASM1382v1_genomic	4829855	4359033	33132	193	359	420126	17205
GCA_000022805.1_ASM2280v1_genomic	4829855	4394853	8818	152	390	420126	5668
GCA_000022825.1_ASM2282v1_genomic	4829855	4393259	9131	179	281	420126	7058
GCA_000022845.1_ASM2284v1_genomic	4829855	4255823	148301	74	303	420126	5302
GCA_000168235.2_ASM16823v2_genomic	4829855	4376099	23274	57	303	420126	10053
GCA_000169615.1_ASM16961v1_genomic	4829855	4253877	134255	191	476	420126	21121
GCA_000169635.1_ASM16963v1_genomic	4829855	4389817	14876	70	296	420126	4740
GCA_000169655.1_ASM16965v1_genomic	4829855	4247408	146052	169	599	420126	15670
GCA_000169675.1_ASM16967v1_genomic	4829855	4370865	26406	127	413	420126	12045
GCA_000170275.1_ASM17027v1_genomic	4829855	4368909	30298	52	337	420126	10185
GCA_000181455.2_ASM18145v2_genomic	4829855	4405545	1575	28	127	420126	2482
GCA_000182485.1_ASM18248v1_genomic	4829855	4213693	184166	176	420	420126	11450
GCA_000182505.1_ASM18250v1_genomic	4829855	4300893	104703	43	299	420126	3834
GCA_000182525.1_ASM18252v1_genomic	4829855	4337005	68391	62	219	420126	4114
GCA_000182705.1_ASM18270v1_genomic	4829855	4265544	131787	208	545	420126	11853
GCA_000255735.1_ASM25573v1_genomic	4829855	4366333	13372	22	113	420126	29911
GCA_000255755.1_ASM25575v1_genomic	4829855	4368521	5199	32	52	420126	35957
GCA_000255775.1_ASM25577v1_genomic	4829855	4372098	4963	24	41	420126	32627
GCA_000255795.1_ASM25579v1_genomic	4829855	4356504	10713	25	38	420126	42474
GCA_000255815.1_ASM25581v1_genomic	4829855	4315767	63624	27	54	420126	30284
GCA_000255835.1_ASM25583v1_genomic	4829855	4366829	6306	31	61	420126	36533
GCA_000255855.1_ASM25585v1_genomic	4829855	4373061	817	35	16	420126	35835
GCA_000255875.1_ASM25587v1_genomic	4829855	4369822	5665	33	19	420126	34223
GCA_000255895.1_ASM25589v1_genomic	4829855	4377876	616	32	22	420126	31215
GCA_000268325.1_ASM26832v1_genomic	4829855	4325425	13107	63	150	420126	71047
GCA_000268345.1_ASM26834v1_genomic	4829855	4349959	8903	56	152	420126	50715
GCA_000268365.1_ASM26836v1_genomic	4829855	4339599	14742	43	90	420126	55298
GCA_000268385.1_ASM26838v1_genomic	4829855	4349893	12401	47	112	420126	47323
GCA_000268405.1_ASM26840v1_genomic	4829855	4338132	13537	44	117	420126	57943
GCA_000268425.1_ASM26842v1_genomic	4829855	4330396	18065	41	91	420126	61177
GCA_000268445.1_ASM26844v1_genomic	4829855	4336652	14316	42	81	420126	58680
GCA_000268465.1_ASM26846v1_genomic	4829855	4330210	14221	44	107	420126	65191
GCA_000268485.1_ASM26848v1_genomic	4829855	4239503	80007	40	127	420126	90092
GCA_000268485.2_ASM26848v2_genomic	4829855	4239503	80007	40	127	420126	90092
GCA_000268505.1_ASM26850v1_genomic	4829855	4340761	17828	46	114	420126	51026
GCA_000268525.1_ASM26852v1_genomic	4829855	4168342	179571	32	61	420126	61755
GCA_000268545.1_ASM26854v1_genomic	4829855	4332747	12279	48	178	420126	64525
GCA_000268565.1_ASM26856v1_genomic	4829855	4288509	19884	49	163	420126	101173
GCA_000268585.1_ASM26858v1_genomic	4829855	4335668	16486	43	132	420126	57443
GCA_000268605.1_ASM26860v1_genomic	4829855	4315690	20876	40	94	420126	73069
GCA_000268625.1_ASM26862v1_genomic	4829855	4345478	13034	41	103	420126	51114
GCA_000268645.1_ASM26864v1_genomic	4829855	4341710	13624	45	106	420126	54289
GCA_000268665.1_ASM26866v1_genomic	4829855	4330650	15790	43	130	420126	63159
GCA_000268685.1_ASM26868v1_genomic	4829855	4359053	6899	45	200	420126	43577
GCA_000268705.1_ASM26870v1_genomic	4829855	4326360	20155	42	132	420126	63082
GCA_000268725.1_ASM26872v1_genomic	4829855	4336255	17562	44	112	420126	55800
GCA_000268725.2_ASM26872v2_genomic	4829855	4336255	17562	44	112	420126	55800
GCA_000268745.1_ASM26874v1_genomic	4829855	4348444	13207	46	109	420126	47969
GCA_000268765.1_ASM26876v1_genomic	4829855	4316602	25629	44	130	420126	67368
GCA_000268785.1_ASM26878v1_genomic	4829855	4294974	31768	48	151	420126	82836
GCA_000268805.1_ASM26880v1_genomic	4829855	4138757	72414	44	129	420126	198429
GCA_000268805.2_ASM26880v2_genomic	4829855	4138757	72414	44	129	420126	198429
GCA_000268825.1_ASM26882v1_genomic	4829855	4350787	11897	43	134	420126	46911
GCA_000268845.1_ASM26884v1_genomic	4829855	4308644	27538	40	104	420126	73443
GCA_000268865.1_ASM26886v1_genomic	4829855	4251214	49613	46	159	420126	108743
GCA_000268865.2_ASM26886v2_genomic	4829855	4251214	49613	46	159	420126	108743
GCA_000268885.1_ASM26888v1_genomic	4829855	4321552	22559	43	127	420126	65491
GCA_000268905.1_ASM26890v1_genomic	4829855	4340619	12692	40	140	420126	56278
GCA_000268925.1_ASM26892v1_genomic	4829855	4337964	16832	48	134	420126	54799
GCA_000268945.1_ASM26894v1_genomic	4829855	4254464	26967	42	117	420126	128181
GCA_000268965.1_ASM26896v1_genomic	4829855	4342436	14792	45	144	420126	52357
GCA_000268985.1_ASM26898v1_genomic	4829855	4187416	171472	30	54	420126	50787
GCA_000269005.1_ASM26900v1_genomic	4829855	4169606	177789	29	63	420126	62271
GCA_000269025.1_ASM26902v1_genomic	4829855	4190427	170969	28	76	420126	48257
GCA_000269045.1_ASM26904v1_genomic	4829855	4317660	15008	47	99	420126	76962
GCA_000269065.1_ASM26906v1_genomic	4829855	4340673	16315	48	142	420126	52599
GCA_000269085.1_ASM26908v1_genomic	4829855	4335693	16073	41	107	420126	57856
GCA_000269105.1_ASM26910v1_genomic	4829855	4333866	14615	43	124	420126	61124
GCA_000269125.1_ASM26912v1_genomic	4829855	4345347	13332	43	139	420126	50911
GCA_000269145.1_ASM26914v1_genomic	4829855	4330851	14705	41	118	420126	64055
GCA_000269165.1_ASM26916v1_genomic	4829855	4341904	14425	46	113	420126	53287
GCA_000269185.1_ASM26918v1_genomic	4829855	4334483	15228	42	130	420126	59888
GCA_000269205.1_ASM26920v1_genomic	4829855	4331661	24665	43	119	420126	53284
GCA_000269225.1_ASM26922v1_genomic	4829855	4323488	22518	42	128	420126	63595
GCA_000269245.1_ASM26924v1_genomic	4829855	4303646	36392	42	141	420126	69550
GCA_000269265.1_ASM26926v1_genomic	4829855	4319543	16428	40	119	420126	73639
GCA_000269285.1_ASM26928v1_genomic	4829855	4344842	13834	42	80	420126	50973
GCA_000269285.2_ASM26928v2_genomic	4829855	4344842	13834	42	80	420126	50973
GCA_000269305.1_ASM26930v1_genomic	4829855	4349918	12688	42	141	420126	46982
GCA_000269325.1_ASM26932v1_genomic	4829855	4332369	18123	42	99	420126	59138
GCA_000269345.1_ASM26934v1_genomic	4829855	4307914	19153	46	142	420126	82520
GCA_000269365.1_ASM26936v1_genomic	4829855	4339077	16829	42	113	420126	53710
GCA_000269385.1_ASM26938v1_genomic	4829855	4067476	137676	42	141	420126	204436
GCA_000269405.1_ASM26940v1_genomic	4829855	4309205	18697	42	150	420126	81677
GCA_000269425.1_ASM26942v1_genomic	4829855	4321276	18088	40	175	420126	70190
GCA_000269445.1_ASM26944v1_genomic	4829855	4351845	11485	44	122	420126	46277
GCA_000269465.1_ASM26946v1_genomic	4829855	4342562	14942	42	181	420126	52044
GCA_000269485.1_ASM26948v1_genomic	4829855	4194803	78655	43	130	420126	136141
