Name	UFboot	sCF	Branch_Length	Branch_Support_Color	coord_x	coord_y	Strain	Date	DateBP	Country	Province	CountryLat	CountryLon	ProvinceLat	ProvinceLon	Biovar	Branch_Major	Branch_Minor	BioSample	BioSampleComment	Branch_Number	Continent
NODE0	NA	NA	0.0	black	0.0	17.66482067793007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE1	NA	NA	2.7248e-06	black	2.7248e-06	2.078125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMEA3541827	NA	NA	3.840800000000006e-06	grey	6.565600000000005e-06	1.0	RISE509	[-2876:-2677]	[-4897:-4698]	Russia	Krasnoyarsk Krai	64.6863136	97.7453061	63.3233807	97.09799740000001	Bronze Age	0.PRE	0.PRE2	SAMEA3541827	KEEP: SRA Ancient	0	Europe
NODE2	NA	NA	1.3422399999999995e-05	black	1.6147199999999997e-05	3.15625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMEA104233046	NA	NA	2.233000000000004e-06	grey	1.83802e-05	2.0	Gyvakarai1	[-2621:-2472]	[-4642:-4493]	Lithuania	Panevezys County	55.350000300000005	23.7499997	55.9156048	25.03115989218585	Bronze Age	0.PRE	0.PRE1	SAMEA104233046	KEEP: SRA Ancient	0	Europe
NODE3	NA	NA	1.3476200000000005e-05	black	2.96234e-05	4.3125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMEA104233047	NA	NA	2.651000000000053e-07	grey	2.9888500000000007e-05	3.0	KunilaII	[-2574:-2340]	[-4595:-4361]	Estonia	Pärnu maakond	58.75237779999999	25.3319078	58.31950685	24.30261214859043	Bronze Age	0.PRE	0.PRE1	SAMEA104233047	KEEP: SRA Ancient	0	Europe
NODE4	NA	NA	1.0987000000000036e-06	black	3.07221e-05	5.625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NODE5	NA	NA	1.1723999999999958e-06	black	3.18945e-05	4.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMEA6812876	NA	NA	2.3449999999999242e-07	grey	3.212899999999999e-05	4.0	GLZ001	[-2838:-2495]	[-4859:-4516]	Russia	Irkutsk Oblast	64.6863136	97.7453061	56.6370122	104.71922099999999	Bronze Age	0.PRE	0.PRE1	SAMEA6812876	KEEP: SRA Ancient	0	Europe
SAMEA6812877	NA	NA	2.33999999999971e-08	grey	3.1917899999999995e-05	5.0	GLZ002	[-2569:-2467]	[-4590:-4488]	Russia	Irkutsk Oblast	64.6863136	97.7453061	56.6370122	104.71922099999999	Bronze Age	0.PRE	0.PRE1	SAMEA6812877	KEEP: SRA Ancient	0	Europe
NODE6	NA	NA	1.0900700000000002e-05	black	4.1622800000000004e-05	6.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMEA104233049	NA	NA	2.550999999999834e-07	grey	4.187789999999999e-05	6.0	1343UnTal85	[-2396:-2148]	[-4417:-4169]	Germany	Bavaria	51.0834196	10.4234469	48.9467562	11.4038717	Bronze Age	0.PRE	0.PRE1	SAMEA104233049	KEEP: SRA Ancient	0	Europe
NODE7	NA	NA	1.2683699999999995e-05	black	5.43065e-05	7.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
