sample	strain	date	date_bp	country	province	country_lat	country_lon	province_lat	province_lon	biovar	branch_major	branch_minor	biosample_accession	biosample_comment	branch_number	continent	date_mean	date_bp_mean	date_err	lat	lon	host_human	branch_major_color	geometry_size	geometry	root_rtt_dist	clade_rtt_dist	branch_length	branch_length_sub	node_type	branch_support	branch_support_conf_category	branch_support_conf_char	country_date_strain	province_date_strain	rate	rate_hpd	rate_sub	rate_sub_year	height	height_hpd	timetree_num_date	timetree_num_date_confidence	continuous_geo	continuous_geo_coord	continuous_geo_lat	continuous_geo_lon	baseline_pst	depleted_pla	ratio_pla_pst	cluster_pla_pst
SAMEA5818830	STN021	[1485:1635]	[-536:-386]	Switzerland	Nidwalden	46.7985624	8.231973599999998	46.942756	8.4119773	Second Pandemic	1.PRE	1.PRE1	SAMEA5818830	KEEP: SRA Ancient	1.0	Europe	1560.0	461.0	75.0	46.942756	8.4119773	Human	#8000ff	8.0	POINT (8.4119773 46.942756)	1.21946e-05	1.21946e-05	4.699373783096718	0.8070497860931108	terminal	0.0	LOW	NA	Switzerland [1485:1635] STN021	Nidwalden [1485:1635] STN021	4.0030059930430895e-08	[2.7895423299167187e-09, 9.724170060189984e-08]	4.0030059930430895e-08	0.171735602091497	237.69898289362786	[172.2302786764335, 320.8567069106599]	1568	[1485, 1633]	NA	['NA', 'NA']	NA	NA	82.6061478	9.773162800000001	0.1183103565567792	0.0
SAMEA5818829	STN020	[1485:1635]	[-536:-386]	Switzerland	Nidwalden	46.7985624	8.231973599999998	46.942756	8.4119773	Second Pandemic	1.PRE	1.PRE1	SAMEA5818829	KEEP: SRA Ancient	1.0	Europe	1560.0	461.0	75.0	46.942756	8.4119773	Human	#8000ff	8.0	POINT (8.4119773 46.942756)	1.19382e-05	1.19382e-05	11.803908484527053	2.0394163723500602	terminal	0.0	LOW	NA	Switzerland [1485:1635] STN020	Nidwalden [1485:1635] STN020	4.027225712013215e-08	[1.2084644048660034e-09, 9.501664551443427e-08]	4.027225712013215e-08	0.17277466824004886	245.93613907426612	[180.05505350951182, 327.53466125263174]	1560	[1478, 1626]	NA	['NA', 'NA']	NA	NA	91.2597733	13.364216800000001	0.1464414858457686	0.0
SAMEA5818828	STN019	[1485:1635]	[-536:-386]	Switzerland	Nidwalden	46.7985624	8.231973599999998	46.942756	8.4119773	Second Pandemic	1.PRE	1.PRE1	SAMEA5818828	KEEP: SRA Ancient	1.0	Europe	1560.0	461.0	75.0	46.942756	8.4119773	Human	#8000ff	8.0	POINT (8.4119773 46.942756)	1.20081e-05	1.20081e-05	11.597621587178425	2.0408958923285097	terminal	0.0	LOW	NA	Switzerland [1485:1635] STN019	Nidwalden [1485:1635] STN019	4.1018315440193555e-08	[1.6884386593925476e-09, 9.750988437599068e-08]	4.1018315440193555e-08	0.1759753822787934	246.11565856344143	[181.6098172292643, 328.5680990974853]	1560	[1477, 1624]	NA	['NA', 'NA']	NA	NA	64.3919907	7.680511	0.11927742746428247	0.0
SAMEA5818826	STN014	[1485:1635]	[-536:-386]	Switzerland	Nidwalden	46.7985624	8.231973599999998	46.942756	8.4119773	Second Pandemic	1.PRE	1.PRE1	SAMEA5818826	KEEP: SRA Ancient	1.0	Europe	1560.0	461.0	75.0	46.942756	8.4119773	Human	#8000ff	8.0	POINT (8.4119773 46.942756)	1.19003e-05	1.19003e-05	10.27937399746068	1.8067143953126772	terminal	0.0	LOW	NA	Switzerland [1485:1635] STN014	Nidwalden [1485:1635] STN014	4.096837524860393e-08	[1.8909729151808804e-09, 9.956761157685464e-08]	4.096837524860393e-08	0.17576113056680212	247.46067356133256	[183.03436053134095, 331.7023619277743]	1558	[1474, 1623]	NA	['NA', 'NA']	NA	NA	104.81750490000002	31.6112881	0.3015840544015849	0.0
SAMEA5818825	STN013	[1485:1635]	[-536:-386]	Switzerland	Nidwalden	46.7985624	8.231973599999998	46.942756	8.4119773	Second Pandemic	1.PRE	1.PRE1	SAMEA5818825	KEEP: SRA Ancient	1.0	Europe	1560.0	461.0	75.0	46.942756	8.4119773	Human	#8000ff	8.0	POINT (8.4119773 46.942756)	1.24044e-05	1.24044e-05	8.608244439835545	1.703586241600598	terminal	0.0	LOW	NA	Switzerland [1485:1635] STN013	Nidwalden [1485:1635] STN013	4.612914834222023e-08	[3.052159487609192e-09, 1.0989483500193903e-07]	4.612914834222023e-08	0.1979017038267496	233.79011223688903	[170.11192431228056, 319.9122117845398]	1572	[1486, 1636]	NA	['NA', 'NA']	NA	NA	42.612663299999994	4.5441961	0.10663957021433111	0.0
SAMEA5818822	STN008	[1485:1635]	[-536:-386]	Switzerland	Nidwalden	46.7985624	8.231973599999998	46.942756	8.4119773	Second Pandemic	1.PRE	1.PRE1	SAMEA5818822	KEEP: SRA Ancient	1.0	Europe	1560.0	461.0	75.0	46.942756	8.4119773	Human	#8000ff	8.0	POINT (8.4119773 46.942756)	1.27904e-05	1.27904e-05	28.277065349699512	7.3562171416900375	terminal	0.0	LOW	NA	Switzerland [1485:1635] STN008	Nidwalden [1485:1635] STN008	6.063817304726586e-08	[7.071294470007741e-09, 1.3975476824415206e-07]	6.063817304726586e-08	0.2601478283094964	235.06476287371157	[166.9068108744524, 321.7283763675628]	1571	[1484, 1639]	NA	['NA', 'NA']	NA	NA	34.2281189	4.317359	0.12613486042319433	0.0
SAMEA5818821	STN007	[1485:1635]	[-536:-386]	Switzerland	Nidwalden	46.7985624	8.231973599999998	46.942756	8.4119773	Second Pandemic	1.PRE	1.PRE1	SAMEA5818821	KEEP: SRA Ancient	1.0	Europe	1560.0	461.0	75.0	46.942756	8.4119773	Human	#8000ff	8.0	POINT (8.4119773 46.942756)	1.21946e-05	1.21946e-05	14.667156871106469	2.974674585815446	terminal	0.0	LOW	NA	Switzerland [1485:1635] STN007	Nidwalden [1485:1635] STN007	4.727368199050709e-08	[3.643150725661491e-09, 1.1165953108638349e-07]	4.727368199050709e-08	0.20281194317048584	243.0461232795134	[176.55577845035089, 326.8304287818472]	1563	[1479, 1629]	NA	['NA', 'NA']	NA	NA	75.03072359999999	10.0851974	0.1344142361436589	0.0
SAMEA5818818	STN002	[1485:1635]	[-536:-386]	Switzerland	Nidwalden	46.7985624	8.231973599999998	46.942756	8.4119773	Second Pandemic	1.PRE	1.PRE1	SAMEA5818818	KEEP: SRA Ancient	1.0	Europe	1560.0	461.0	75.0	46.942756	8.4119773	Human	#8000ff	8.0	POINT (8.4119773 46.942756)	1.20579e-05	1.20579e-05	18.57498108743528	3.5793181871542377	terminal	0.0	LOW	NA	Switzerland [1485:1635] STN002	Nidwalden [1485:1635] STN002	4.491566460317814e-08	[3.0200911138855654e-09, 1.0879428287254058e-07]	4.491566460317814e-08	0.1926956571479583	240.9356889933325	[175.90106721973086, 324.10999832206414]	1565	[1482, 1630]	NA	['NA', 'NA']	NA	NA	54.9087524	7.6357827	0.13906312502558335	0.0
SAMEA5818817	STA001	[1420:1630]	[-601:-391]	Germany	Bavaria	51.0834196	10.4234469	48.9467562	11.4038717	Second Pandemic	1.PRE	1.PRE1	SAMEA5818817	KEEP: SRA Ancient	1.0	Europe	1525.0	496.0	105.0	48.9467562	11.4038717	Human	#8000ff	4.0	POINT (11.4038717 48.9467562)	5.6598e-06	5.6598e-06	46.02643046019944	10.50260025321516	terminal	0.0	LOW	NA	Germany [1420:1630] STA001	Bavaria [1420:1630] STA001	5.318821850315207e-08	[8.088697183461412e-09, 1.1658630677675716e-07]	5.318821850315207e-08	0.2281862866227939	373.08099274034447	[297.0317065143613, 464.5646006038198]	1433	[1341, 1509]	NA	['NA', 'NA']	NA	NA	71.31005859999999	12.7199144	0.1783747573585643	0.0
SAMEA5818815	NMS002	[1475:1536]	[-546:-485]	England	East of England	52.5310214	-1.2649062	52.2199774	0.4875777469166293	Second Pandemic	1.PRE	1.PRE1	SAMEA5818815	KEEP: SRA Ancient	1.0	Europe	1505.5	515.5	30.5	52.2199774	0.4875777469166293	Human	#8000ff	1.0	POINT (0.4875777469166293 52.2199774)	9.3109e-06	9.3109e-06	49.39364845525592	13.013517417043767	terminal	0.0	LOW	NA	England [1475:1536] NMS002	East of England [1475:1536] NMS002	6.141147018633477e-08	[1.636641780118177e-08, 1.200041605223027e-07]	6.141147018633477e-08	0.2634654014034271	314.970377251176	[250.24523384745908, 398.74778849328993]	1491	[1407, 1555]	NA	['NA', 'NA']	NA	NA	68.36685179999999	10.4068155	0.15222019481669333	0.0
