clade	coefficient	raw_p_value	n	corrected_p_value	reject
0.PRE	-0.07181949712728528	0.529	8	0.594	False
0.ANT4	0.8086600250462972	0.034	12	0.136	False
0.PE	0.7069343426462567	0.001	83	0.012	True
0.ANT	0.584822832743224	0.001	103	0.012	True
1.PRE	0.23128840417446647	0.008	40	0.042	True
1.ANT	0.46273739926426677	0.051	4	0.153	False
1.IN	0.28087849205219173	0.007	39	0.042	True
1.ORI	0.592543163922446	0.001	117	0.012	True
2.ANT	0.45993107677087025	0.002	54	0.014	True
2.MED	0.0556731635505337	0.297	116	0.594	False
3.ANT	0.5571142298460707	0.001	11	0.012	True
4.ANT	0.4631979073617495	0.001	11	0.012	True
