population	label	coefficient	raw_p_value	n	corrected_p_value	reject
0.PRE	all	-0.07181949712728528	0.536	8	0.576	False
0.PE	all	0.6783083201227015	0.001	86	0.012	True
0.ANT	all	0.584822832743224	0.001	103	0.012	True
0.ANT4	all	0.8086600250462972	0.036	12	0.144	False
3.ANT	all	0.5283113507716912	0.001	11	0.012	True
4.ANT	all	0.4631979073617495	0.001	11	0.012	True
2.ANT	all	0.45993107677087025	0.002	54	0.014	True
2.MED	all	0.05585645379224016	0.288	116	0.576	False
1.PRE	all	0.23128840417446647	0.006	40	0.036000000000000004	True
1.ANT	all	0.46273739926426677	0.044	4	0.144	False
1.IN	all	0.28087849205219173	0.016	39	0.08	False
1.ORI	all	0.5930886432561994	0.001	117	0.012	True
