sample	lat	lon
GCA_000325305.1_ASM32530v1_genomic	45.3463139	95.9325806
GCA_000325285.1_ASM32528v1_genomic	44.4179637	109.7783753
GCA_000325265.1_ASM32526v1_genomic	44.4179637	109.7783753
GCA_000325245.1_ASM32524v1_genomic	45.3463139	95.9325806
GCA_000325205.1_ASM32520v1_genomic	48.5470083	89.8549358
GCA_000324325.1_ASM32432v1_genomic	38.0000001	101.9999999
GCA_000323765.1_ASM32376v1_genomic	38.0000001	101.9999999
GCA_000323525.1_ASM32352v1_genomic	38.0000001	101.9999999
GCA_000323505.1_ASM32350v1_genomic	35.40709525	95.95211573241954
GCA_013391945.1_ASM1339194v1_genomic	48.3443641	96.6954161
GCA_013391965.1_ASM1339196v1_genomic	50.2206196	99.9170492
