population	label	coefficient	raw_p_value	n	corrected_p_value	reject
0.PRE	all	-0.07086156577308396	0.519	8	0.644	False
0.PE	all	0.8599911737195707	0.001	52	0.012	True
0.ANT	all	0.5801470658437083	0.001	102	0.012	True
0.ANT4	all	0.8120390287865963	0.032	12	0.096	False
3.ANT	all	0.5373950254624817	0.002	11	0.012	True
4.ANT	all	0.5416511756279574	0.003	10	0.015	True
2.ANT	all	0.7758600850880668	0.001	50	0.012	True
2.MED	all	0.7414450432310289	0.001	96	0.012	True
1.PRE	all	0.22407238376486804	0.013	40	0.052	False
1.ANT	all	0.871748023071265	0.322	3	0.644	False
1.IN	all	0.6051335827528133	0.001	33	0.012	True
1.ORI	all	0.6985834432793772	0.001	60	0.012	True
