population	mean_rtt_dist	coefficient	raw_p_value	n	corrected_p_value	reject	rate	rate_bootstrap_peak	rate_bootstrap_ci_low	rate_bootstrap_ci_high	mrca	mrca_bootstrap_peak	mrca_bootstrap_ci_low
All	6.49e-05	0.16	5.993e-20	477	7.791e-19	True	6.20e-09	6.46e-09	5.22e-09	7.24e-09	-8630	-8160	-10635	-7141
0.PRE	3.82e-05	0.91	1.735e-04	8	1.735e-03	True	7.09e-08	6.97e-08	5.87e-08	8.43e-08	-2898	-2900	-3043	-2804
0.PE	6.99e-05	0.0	3.139e-01	51	1.000e+00	False	-1.52e-07	-1.52e-07	-4.01e-07	8.56e-08	2445	2241	-328	4144
0.ANT	1.30e-05	-0.01	6.860e-01	102	1.000e+00	False	-5.27e-09	-4.29e-09	-2.62e-08	1.62e-08	4445	4006	-3911	9047
0.ANT4	1.31e-05	0.71	3.615e-04	12	3.253e-03	True	2.56e-08	2.49e-08	1.76e-08	3.26e-08	30	77	-217	140
3.ANT	6.21e-06	-0.03	4.177e-01	11	1.000e+00	False	3.68e-08	3.07e-08	-2.74e-08	1.01e-07	1825	1877	1252	2743
4.ANT	5.07e-06	0.11	1.852e-01	10	1.000e+00	False	3.55e-08	3.31e-08	-1.82e-09	7.06e-08	1861	1938	1400	2324
2.ANT	4.47e-06	0.58	7.755e-11	50	8.531e-10	True	-5.94e-08	-5.91e-08	-7.07e-08	-4.85e-08	2067	2065	2054	2084
2.MED	8.02e-06	0.02	8.757e-02	96	7.006e-01	False	-1.68e-08	-1.79e-08	-3.33e-08	-3.20e-10	2457	2354	2160	3748
1.PRE	1.15e-05	0.77	7.332e-14	40	8.798e-13	True	6.49e-08	6.48e-08	5.59e-08	7.40e-08	1351	1356	1317	1379
1.ANT	1.20e-06	0.81	1.991e-01	3	1.000e+00	False	4.16e-08	4.15e-08	3.00e-08	5.50e-08	1946	1951	1929	1953
1.IN	3.35e-06	-0.02	4.791e-01	33	1.000e+00	False	7.43e-09	1.01e-08	-9.52e-09	2.37e-08	1530	1774	60	3873
1.ORI	5.93e-06	0.03	8.784e-02	60	7.006e-01	False	1.80e-08	2.00e-08	1.05e-10	3.36e-08	1673	1787	844	1910
