Clade,N,Dates,Strict Clock Likelihood,Strict Clock Bayes Factor,Relaxed Clock Likelihood,Relaxed Clock Bayes Factor,Max Likelihood,Best Model
1.ORI,117,Yes,-5899661,30,-5899566,36,-5899566,UCLN / Dates
,,No,-5899691,,-5899601,,,
1.IN,39,Yes,-5891403,-4,-5891355,-10,-5891344,UCLN / No Dates
,,No,-5891399,,-5891344,,,
1.ANT,4,Yes,-5882587,9,-5882582,13,-5882582,UCLN / Dates
,,No,-5882596,,-5882595,,,
1.PRE,40,Yes,-5888130,10,-5888038,44,-5888038,UCLN / Dates
,,No,-5888140,,-5888082,,,
2.MED,116,Yes,-5920733,105,-5919658,4,-5919658,UCLN / Dates
,,No,-5920837,,-5919662,,,
2.ANT,54,Yes,-5892895,-19,-5892805,-13,-5892791,UCLN / No Dates
,,No,-5892876,,-5892791,,,
4.ANT,11,Yes,-5886034,-3,-5886022,4,-5886022,UCLN / Dates
,,No,-5886031,,-5886026,,,
3.ANT,11,Yes,-5887506,-9,-5887506,-11,-5887495,UCLN / No Dates
,,No,-5887497,,-5887495,,,
0.ANT,103,Yes,-5896016,-2,-5882582,13298,-5882582,UCLN / Dates
,,No,-5896014,,-5895880,,,
0.ANT4,12,Yes,-5889520,5,-5889496,6,-5889496,UCLN / Dates
,,No,-5889526,,-5889502,,,
0.PE,83,Yes,-5945574,29,-5944614,12,-5944614,UCLN / Dates
,,No,-5945603,,-5944627,,,
0.PRE,8,Yes,-5892843,83,-5892741,-3,-5892739,UCLN / No Dates
,,No,-5892926,,-5892739,,,
