sample tstv cds_sites ns_sites ss_sites ns_ss_ratio homo_het_sites homo_sites het_sites het_ratio
SAMEA5818830 2.070 150 77 44 1.75 396 150 246 0.621212
SAMEA5818829 2.127 152 77 44 1.75 197 152 45 0.228426
SAMEA5818828 2.286 148 78 45 1.73333 180 148 32 0.177778
SAMEA5818826 1.886 171 84 46 1.82609 231 171 60 0.25974
SAMEA5818825 2.143 121 65 37 1.75676 176 121 55 0.3125
SAMEA5818822 2.104 135 73 42 1.7381 317 135 182 0.574132
SAMEA5818821 2.170 151 78 42 1.85714 237 151 86 0.362869
SAMEA5818818 2.326 137 72 41 1.7561 209 137 72 0.344498
SAMEA5818817 2.091 119 58 32 1.8125 289 119 170 0.588235
SAMEA5818815 2.080 143 72 45 1.6 320 143 177 0.553125
SAMEA5818811 3.182 79 44 21 2.09524 129 79 50 0.387597
SAMEA5818809 2.179 112 65 27 2.40741 286 112 174 0.608392
SAMEA5818808 2.250 103 52 37 1.40541 346 103 243 0.702312
SAMEA5818806 2.333 102 58 25 2.32 249 102 147 0.590361
SAMEA5818805 2.364 135 71 39 1.82051 406 135 271 0.667488
SAMEA5818803 1.908 168 85 46 1.84783 441 168 273 0.619048
SAMEA5818801 1.936 201 106 55 1.92727 606 201 405 0.668317
SAMEA5818800 1.726 214 108 55 1.96364 287 214 73 0.254355
SAMEA5818799 1.681 206 107 52 2.05769 278 206 72 0.258993
SAMEA5818798 1.928 183 99 49 2.02041 213 183 30 0.140845
SAMEA5661390 2.060 143 66 51 1.29412 444 143 301 0.677928
SAMEA5661389 1.940 182 110 43 2.55814 307 182 125 0.407166
SAMEA5661385 1.984 169 89 48 1.85417 635 169 466 0.733858
SAMEA5661384 1.908 178 103 45 2.28889 434 178 256 0.589862
SAMEA5661372 1.738 207 118 56 2.10714 563 207 356 0.632327
SAMEA5661367 1.767 255 138 58 2.37931 322 255 67 0.208075
SAMEA5661365 1.885 162 95 37 2.56757 251 162 89 0.354582
SAMEA5661364 2.196 133 70 38 1.84211 362 133 229 0.632597
SAMEA5661363 1.860 240 123 54 2.27778 346 240 106 0.306358
SAMEA5661360 1.790 160 92 45 2.04444 267 160 107 0.400749
SAMEA5054093 2.500 69 28 25 1.12 210 69 141 0.671429
SAMEA5054092 2.686 113 55 24 2.29167 170 113 57 0.335294
SAMEA5054090 2.189 104 49 24 2.04167 159 104 55 0.345912
SAMEA5054089 2.382 97 47 24 1.95833 146 97 49 0.335616
SAMEA104233048 1.866 494 250 108 2.31481 535 494 41 0.0766355
SAMEA104233049 1.653 635 337 143 2.35664 696 635 61 0.0876437
SAMEA104233047 1.898 346 177 78 2.26923 372 346 26 0.0698925
SAMEA104233046 1.631 296 155 72 2.15278 332 296 36 0.108434
SAMEA104488961 1.808 246 129 55 2.34545 328 246 82 0.25
SAMEA4354665 1.900 234 118 53 2.22642 320 234 86 0.26875
SAMEA3937654 2.567 99 53 24 2.20833 147 99 48 0.326531
SAMEA3937653 2.563 104 53 24 2.20833 206 104 102 0.495146
SAMEA3713715 1.828 230 114 56 2.03571 290 230 60 0.206897
SAMEA3713714 1.900 215 110 53 2.07547 268 215 53 0.197761
SAMEA3713713 1.914 248 116 58 2 292 248 44 0.150685
SAMEA3713712 1.894 233 112 56 2 273 233 40 0.14652
SAMEA3713711 2.039 221 111 53 2.09434 248 221 27 0.108871
SAMN00715800 2.548 98 55 25 2.2 162 98 64 0.395062
SAMEA3541827 1.585 387 208 79 2.63291 501 387 114 0.227545
SAMEA3541826 1.904 740 400 190 2.10526 770 740 30 0.038961
SAMEA1061800 2.370 143 76 35 2.17143 164 143 21 0.128049
SAMEA7293136 2.828 101 50 21 2.38095 140 101 39 0.278571
SAMEA7293135 2.092 287 116 98 1.18367 1953 287 1666 0.853047
SAMEA6812877 1.810 522 291 129 2.25581 595 522 73 0.122689
SAMEA6812876 1.737 444 259 109 2.37615 725 444 281 0.387586
SAMEA7313236_38 1.684 189 100 48 2.08333 240 189 51 0.2125
SAMEA7313243_45 1.917 96 48 28 1.71429 120 96 24 0.2
SAMEA7313246_49 1.813 171 74 45 1.64444 260 171 89 0.342308
SAMEA6651390 2.378 138 72 40 1.8 218 138 80 0.366972
SAMEA6637004 2.143 140 75 41 1.82927 193 140 53 0.274611
SAMEA6637002 1.838 154 75 43 1.74419 231 154 77 0.333333
