#name, A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, P, Q, R, S, T, U, V, W, X, Y, Z, [, \, ], ^, _, `, a, b, c, d, e
NODE_0000000, 0.006515545693130399, 0.001809358481749227, 0.0017033032472332486, 0.0032749636815668725, 0.002179372640405025, 0.006515507068441163, 0.11015976939847891, 0.0021723070907616092, 0.001792099410070377, 0.003258799694238999, 0.0017920994100703162, 0.016384125877071762, 0.2941176417823106, 0.016396543088546496, 0.24803848650195107, 0.24916631771892925, 0.0016506184529519873, 0.0016275118070532512, 0.0016542194978530732, 0.0016190624484321635, 0.0017048967977785195, 0.0016327009059565072, 0.0016285741063130125, 0.0016262800531998025, 0.001746551909846234, 0.001632276469150498, 0.001618823794832648, 0.0016524792532639462, 0.0016405948037277586, 0.0016683985245011521, 0.0016260529532196087, 0.0018074895706612806, 0.0015823192193567006, 0.0016511099324729237, 0.001642792049389871, 0.0016607284649310945, 0.0016502782001527666
NODE_0000001, 0.0019936257876802858, 0.0007735099383431855, 0.0007478763817577398, 0.00115976203815214, 0.0008726260848424312, 0.0019941909619608867, 0.03013789280195015, 0.0008727267233183645, 0.0007719526707383667, 0.0011551113212326216, 0.0007719526707383261, 0.004563917766247509, 0.08513401897194998, 0.004563687005162757, 0.42352257204155236, 0.425508841165684, 0.0007349126989408515, 0.0007247775717791379, 0.0007364694048718836, 0.0007208481915484584, 0.0007588946170063312, 0.0007267303189771039, 0.000724902534417177, 0.0007231174210672809, 0.0007743300320704962, 0.0007268003776069998, 0.0007207512591699781, 0.0007357722209528282, 0.0007304984488431983, 0.0007429400000471936, 0.0007241573265280967, 0.000804446361149593, 0.0007045399769938711, 0.0007351908616309631, 0.0007314464324546139, 0.00073940575612488, 0.0007348038565080227
SAMEA3541827, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000002, 9.287017072576996e-06, 5.6687488820012965e-06, 5.615984461144106e-06, 6.8796279130032535e-06, 5.9947416786679754e-06, 9.294697190448173e-06, 9.723018862731314e-05, 6.016659985427622e-06, 5.697557492093546e-06, 6.8606799267987e-06, 5.697557492092055e-06, 1.6935204123718372e-05, 0.00029113318105953873, 1.689639909637439e-05, 0.9976752045939934, 0.0017180911894718591, 5.588481576193464e-06, 5.511919728530815e-06, 5.600200079871956e-06, 5.4815478689995e-06, 5.770237328534686e-06, 5.525663062081259e-06, 5.511798581731007e-06, 5.491089472195273e-06, 5.864728939565921e-06, 5.526937824267315e-06, 5.480700125536025e-06, 5.5950513154561405e-06, 5.5550161369258174e-06, 5.649581564403526e-06, 5.507017902156966e-06, 6.1160724276277715e-06, 5.357698491211055e-06, 5.590704282188434e-06, 5.562000179302541e-06, 5.622421598642025e-06, 5.587103048102758e-06
SAMEA104233046, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000003, 6.421568512407481e-08, 5.275229778824089e-08, 5.283099847896116e-08, 5.726069130130035e-08, 5.4109689028047e-08, 6.430088876436247e-08, 3.4689370863057093e-07, 5.440284130423698e-08, 5.319166737571543e-08, 5.714738491969313e-08, 5.319166737569182e-08, 8.819504742340117e-08, 1.0372258832602705e-06, 8.767683396909856e-08, 0.9999897638952759, 7.001377546012714e-06, 5.286571871652446e-08, 5.2141469284176494e-08, 5.297686183681847e-08, 5.1854672646868664e-08, 5.458514635442771e-08, 5.227215600572082e-08, 5.214102019463799e-08, 5.190798360627173e-08, 5.5377351837916043e-08, 5.2283248870449496e-08, 5.184553695695545e-08, 5.292730746975924e-08, 5.254865705272894e-08, 5.34412219657637e-08, 5.2092821529991845e-08, 5.7855622736579153e-08, 5.0683020139853224e-08, 5.288602616403122e-08, 5.261373577236871e-08, 5.3185192969667904e-08, 5.284712127549086e-08
SAMEA104233047, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000004, 2.356187089600994e-08, 2.294671305442883e-08, 2.3095570046512974e-08, 2.357471528539119e-08, 2.3205036017802713e-08, 2.3601298964564463e-08, 3.086944891046556e-08, 2.335147930424653e-08, 2.3175407774886342e-08, 2.3537921530004688e-08, 2.3175407774873643e-08, 2.460676218427537e-08, 4.199501600823284e-08, 2.435098110750399e-08, 0.9999990648138805, 9.303831208801565e-08, 2.3173507018891976e-08, 2.2852664047185656e-08, 2.322349880002504e-08, 2.2730981635856845e-08, 2.3931488550423947e-08, 2.291831072923312e-08, 2.28606201687933e-08, 2.2739638793491225e-08, 2.424806686715415e-08, 2.2916712189963484e-08, 2.272582795514593e-08, 2.319932271199201e-08, 2.303297979826496e-08, 2.3421173911023686e-08, 2.2828595405314234e-08, 2.5367345019637938e-08, 2.2216094117086207e-08, 2.3180476134858027e-08, 2.306126818480329e-08, 2.3312309370413202e-08, 2.315929728398574e-08
NODE_0000005, 2.3239852982739776e-08, 2.2662442652247265e-08, 2.2810276254932448e-08, 2.3273436253440142e-08, 2.291525431592451e-08, 2.327880554200595e-08, 2.9621325344644738e-08, 2.3060044023150483e-08, 2.288864230968877e-08, 2.3237187034922356e-08, 2.2888642309676204e-08, 2.42071197271265e-08, 3.827675584670413e-08, 2.3954319057173063e-08, 0.9999991081123275, 6.448008456984398e-08, 2.288777634869657e-08, 2.2570791711306072e-08, 2.2937187110488125e-08, 2.2450723510893975e-08, 2.363653584718804e-08, 2.2635867065701552e-08, 2.2578881691581585e-08, 2.2459013409339227e-08, 2.3948773340490697e-08, 2.2634106419236688e-08, 2.244560551621209e-08, 2.2913242208546396e-08, 2.274893932072744e-08, 2.3132268287246807e-08, 2.2546951006173286e-08, 2.5054759849606525e-08, 2.1942146928582903e-08, 2.2894607057170027e-08, 2.2776876530375172e-08, 2.3024838902772e-08, 2.2873592089046392e-08
SAMEA6812876, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
SAMEA6812877, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000006, 2.3313334673760856e-08, 2.2733726512259135e-08, 2.2882007723838267e-08, 2.334676909764776e-08, 2.2987366801560007e-08, 2.3352410246949774e-08, 2.972081644307872e-08, 2.3132601037002894e-08, 2.2960610614682063e-08, 2.3310403927652532e-08, 2.2960610614669454e-08, 2.4284297483018258e-08, 3.84151113510753e-08, 2.40306975153537e-08, 0.9999991052102208, 6.475319545331394e-08, 2.295971912973979e-08, 2.2641761387862076e-08, 2.3009276917852548e-08, 2.2521288968324448e-08, 2.3710802672214746e-08, 2.2706985040310584e-08, 2.264982202035766e-08, 2.2529654736428483e-08, 2.402409292538432e-08, 2.2705261612491054e-08, 2.251616106382807e-08, 2.298527231891463e-08, 2.282045564856694e-08, 2.3205007429278856e-08, 2.2617861280688425e-08, 2.5133466816742934e-08, 2.2011122790944874e-08, 2.2966583516624402e-08, 2.284848089686375e-08, 2.3097218668132367e-08, 2.29455239452145e-08
SAMEA104233049, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000007, 2.3238889436017024e-08, 2.2661591171662447e-08, 2.280942174551538e-08, 2.3272534045416556e-08, 2.2914386353020697e-08, 2.327784056323541e-08, 2.9617483984764996e-08, 2.305917115670462e-08, 2.288778348960401e-08, 2.3236286459870117e-08, 2.288778348959144e-08, 2.4205925334902177e-08, 3.826439684968628e-08, 2.3953133638916766e-08, 0.9999991082715466, 6.43663300296766e-08, 2.288692069524519e-08, 2.2569947481421673e-08, 2.2936329764368458e-08, 2.2449884266983645e-08, 2.3635652743882574e-08, 2.2635021443844514e-08, 2.257803817321059e-08, 2.2458172782678627e-08, 2.394787683656121e-08, 2.2633260068615706e-08, 2.244476634326305e-08, 2.291238546608357e-08, 2.2748088672509946e-08, 2.3131402967507376e-08, 2.254610736997178e-08, 2.5053824041288456e-08, 2.1941326533131642e-08, 2.2893750920146693e-08, 2.2776024829109316e-08, 2.3023978003994304e-08, 2.2872736320706835e-08
SAMEA104233048, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
SAMEA3541826, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
