#name, A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, P, Q, R, S, T, U, V, W, X, Y, Z
NODE_0000000, 0.017199393667146057, 0.011668787024661004, 0.011313344506360621, 0.012994483358828005, 0.028150696052332915, 0.17847936214485777, 0.028150696052332846, 0.030038532417187284, 0.4956368083266862, 0.011023241833319349, 0.010996181626654588, 0.010983734050776952, 0.01096309957009279, 0.01100689776869136, 0.010808804137747215, 0.010907285724086424, 0.010891202563642692, 0.010891202563642764, 0.01104733723990711, 0.01107466148531839, 0.010877794388007145, 0.010877794388007116, 0.010978970438883656, 0.01096287403423328, 0.010962874034233279, 0.01111394060236313
GCA_000323845.1_ASM32384v1_genomic, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000001, 0.025419734059017315, 0.011048691113122885, 0.010026576388020146, 0.014498415622431288, 0.05399566881545959, 0.43940162436011687, 0.053995668815459655, 0.058870345398757094, 0.17411592716458285, 0.009409115296904129, 0.00937004989344243, 0.009353311237144165, 0.009330575756154307, 0.009362506943139212, 0.009157250227932547, 0.009262320985685826, 0.009245647279448165, 0.009245647279448222, 0.009423373915777682, 0.009454580073038872, 0.009228861412084809, 0.009228861412084795, 0.009345561441218213, 0.00933799178718639, 0.00933799178718632, 0.009533701535156189
GCA_001188795.1_ASM118879v1_genomic, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000002, 0.06054128117254355, 0.01580865024353622, 0.012502055352788108, 0.026562337916067293, 0.14883974626223284, 0.17043796005911022, 0.14883974626223384, 0.16351888289568753, 0.07176182849049367, 0.010778806611370175, 0.010702334039076784, 0.010672317037672125, 0.01064141102989151, 0.010674347816776689, 0.010424746100817601, 0.01055351774694567, 0.010537853323162712, 0.010537853323162774, 0.010770307492521702, 0.010809687403600613, 0.010513268849096055, 0.010513268849096037, 0.01066304121084495, 0.010689751378777803, 0.010689751378777666, 0.011015247753715825
NODE_0000003, 0.01893488596884201, 0.008022645527364598, 0.007249334331721295, 0.010636151274305568, 0.3639780888655631, 0.04638418940803294, 0.3639780888655653, 0.04458725100592691, 0.021970665399230482, 0.006781382034054946, 0.006751604408659793, 0.0067388886657419, 0.006721749518351549, 0.006743077350831996, 0.006588766490918219, 0.006668521015481707, 0.006655563849854361, 0.006655563849854401, 0.00679169166156203, 0.006815689337241575, 0.006642619670442863, 0.006642619670442866, 0.00673242680773781, 0.006726229836132586, 0.006726229836132456, 0.006876075350006636
GCA_000323625.1_ASM32362v1_genomic, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
GCA_001294975.1_ASM129497v1_genomic, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000004, 0.14459649502610128, 0.022838483111638552, 0.013693155356441033, 0.05217286953945935, 0.052353874261736, 0.059415662125191025, 0.05235387426173647, 0.41919792918729837, 0.028561499432317772, 0.009278790864593746, 0.00912835635613584, 0.009074628930615985, 0.00903874388031625, 0.00906466266447515, 0.008848344518104767, 0.008959045353542017, 0.008961169111812783, 0.008961169111812849, 0.009197386323940843, 0.009232607850997167, 0.00892941767700803, 0.008929417677008002, 0.009070758085484335, 0.009204200466286623, 0.009204200466286528, 0.00973325835965929
GCA_002981895.1_ASM298189v1_genomic, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
