#name, A, B, C, D, E, F, G, H, I, J
NODE_0000000, 0.5498641439345594, 0.1747692521885045, 0.022902993072603905, 0.022897734471712516, 0.056740240198400654, 0.02271512635044592, 0.06920008071675764, 0.023077438876463876, 0.03498955476128151, 0.022843435429269993
GCA_000323845.1_ASM32384v1_genomic, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000001, 0.3575660088350117, 0.36987119314464023, 0.01579570282612188, 0.016015018941047992, 0.07820674658346762, 0.01568878206194201, 0.0899118057441674, 0.01595282383075914, 0.025234202344976135, 0.015757715687865888
GCA_001188795.1_ASM118879v1_genomic, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000002, 0.43653537059733094, 0.111314361809354, 0.01285327928416184, 0.013287026764855147, 0.17526222934107344, 0.012717730499884538, 0.18987441390338372, 0.012975091230068831, 0.022387024052141137, 0.012793472517746355
NODE_0000003, 0.49913009750232606, 0.03159293400661457, 0.008676779244045085, 0.008783381018704947, 0.34832735189177916, 0.008564348601776173, 0.062354972171018354, 0.008752839748848213, 0.015185923530851962, 0.008631372284035415
GCA_000323625.1_ASM32362v1_genomic, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
GCA_001294975.1_ASM129497v1_genomic, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000004, 0.37654957078813844, 0.03127828954306521, 0.008410369236694935, 0.008970629773096895, 0.10348665729029362, 0.008308649207177748, 0.4310367357965545, 0.008484749404768939, 0.015115222006039264, 0.00835912695417044
GCA_002981895.1_ASM298189v1_genomic, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
NODE_0000005, 0.623966190279343, 0.013815985483430738, 0.007734898628121636, 0.007973354891235284, 0.14354486017356816, 0.0075331659924179496, 0.1639865178761588, 0.007764263225644425, 0.016037885237739802, 0.007642878212340083
GCA_009670865.1_ASM967086v1_genomic, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000006, 0.4889275044740754, 0.010316875914211175, 0.008177040989704667, 0.008398246268360431, 0.35717539168962453, 0.007982260884068173, 0.08601734645255849, 0.008210483585413582, 0.016708293619022752, 0.008086556122960864
GCA_003074535.1_ASM307453v1_genomic, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000007, 0.7519003481714019, 0.007773924329664535, 0.006931448337634702, 0.007502598308014732, 0.1018027270059185, 0.006624162723841171, 0.0859863051296204, 0.006887976197701264, 0.017818445690143927, 0.006772064106058952
