sample	strain	date	date_bp	country	province	country_lat	country_lon	province_lat	province_lon	biovar	branch_major	branch_minor	biosample_accession	biosample_comment	branch_number	continent	date_mean	date_bp_mean	date_err	lat	lon	host_human	branch_major_color	geometry_size	geometry	root_rtt_dist	clade_rtt_dist
SAMEA5818830	STN021	[1485:1635]	[-536:-386]	Switzerland	Nidwalden	46.7985624	8.231973599999998	46.942756	8.4119773	Second Pandemic	1.PRE	1.PRE1	SAMEA5818830	KEEP: SRA Ancient	1	Europe	1560.0	461.0	75.0	46.942756	8.4119773	Human	#8000ff	8.0	POINT (8.4119773 46.942756)	1.21946e-05	1.21946e-05
SAMEA5818829	STN020	[1485:1635]	[-536:-386]	Switzerland	Nidwalden	46.7985624	8.231973599999998	46.942756	8.4119773	Second Pandemic	1.PRE	1.PRE1	SAMEA5818829	KEEP: SRA Ancient	1	Europe	1560.0	461.0	75.0	46.942756	8.4119773	Human	#8000ff	8.0	POINT (8.4119773 46.942756)	1.19382e-05	1.19382e-05
SAMEA5818828	STN019	[1485:1635]	[-536:-386]	Switzerland	Nidwalden	46.7985624	8.231973599999998	46.942756	8.4119773	Second Pandemic	1.PRE	1.PRE1	SAMEA5818828	KEEP: SRA Ancient	1	Europe	1560.0	461.0	75.0	46.942756	8.4119773	Human	#8000ff	8.0	POINT (8.4119773 46.942756)	1.2008100000000001e-05	1.2008100000000001e-05
SAMEA5818826	STN014	[1485:1635]	[-536:-386]	Switzerland	Nidwalden	46.7985624	8.231973599999998	46.942756	8.4119773	Second Pandemic	1.PRE	1.PRE1	SAMEA5818826	KEEP: SRA Ancient	1	Europe	1560.0	461.0	75.0	46.942756	8.4119773	Human	#8000ff	8.0	POINT (8.4119773 46.942756)	1.19003e-05	1.19003e-05
SAMEA5818825	STN013	[1485:1635]	[-536:-386]	Switzerland	Nidwalden	46.7985624	8.231973599999998	46.942756	8.4119773	Second Pandemic	1.PRE	1.PRE1	SAMEA5818825	KEEP: SRA Ancient	1	Europe	1560.0	461.0	75.0	46.942756	8.4119773	Human	#8000ff	8.0	POINT (8.4119773 46.942756)	1.24044e-05	1.24044e-05
SAMEA5818822	STN008	[1485:1635]	[-536:-386]	Switzerland	Nidwalden	46.7985624	8.231973599999998	46.942756	8.4119773	Second Pandemic	1.PRE	1.PRE1	SAMEA5818822	KEEP: SRA Ancient	1	Europe	1560.0	461.0	75.0	46.942756	8.4119773	Human	#8000ff	8.0	POINT (8.4119773 46.942756)	1.27904e-05	1.27904e-05
SAMEA5818821	STN007	[1485:1635]	[-536:-386]	Switzerland	Nidwalden	46.7985624	8.231973599999998	46.942756	8.4119773	Second Pandemic	1.PRE	1.PRE1	SAMEA5818821	KEEP: SRA Ancient	1	Europe	1560.0	461.0	75.0	46.942756	8.4119773	Human	#8000ff	8.0	POINT (8.4119773 46.942756)	1.21946e-05	1.21946e-05
SAMEA5818818	STN002	[1485:1635]	[-536:-386]	Switzerland	Nidwalden	46.7985624	8.231973599999998	46.942756	8.4119773	Second Pandemic	1.PRE	1.PRE1	SAMEA5818818	KEEP: SRA Ancient	1	Europe	1560.0	461.0	75.0	46.942756	8.4119773	Human	#8000ff	8.0	POINT (8.4119773 46.942756)	1.20579e-05	1.20579e-05
SAMEA5818817	STA001	[1420:1630]	[-601:-391]	Germany	Bavaria	51.0834196	10.4234469	48.9467562	11.4038717	Second Pandemic	1.PRE	1.PRE1	SAMEA5818817	KEEP: SRA Ancient	1	Europe	1525.0	496.0	105.0	48.9467562	11.4038717	Human	#8000ff	4.0	POINT (11.4038717 48.9467562)	5.6598e-06	5.6598e-06
SAMEA5818815	NMS002	[1475:1536]	[-546:-485]	England	East of England	52.5310214	-1.2649062	52.2199774	0.4875777469166293	Second Pandemic	1.PRE	1.PRE1	SAMEA5818815	KEEP: SRA Ancient	1	Europe	1505.5	515.5	30.5	52.2199774	0.4875777469166293	Human	#8000ff	1.0	POINT (0.4875777469166293 52.2199774)	9.3109e-06	9.3109e-06
SAMEA5818811	NAB003	[1292:1392]	[-729:-629]	Germany	Bavaria	51.0834196	10.4234469	48.9467562	11.4038717	Second Pandemic	1.PRE	1.PRE1	SAMEA5818811	KEEP: SRA Ancient	1	Europe	1342.0	679.0	50.0	48.9467562	11.4038717	Human	#8000ff	4.0	POINT (11.4038717 48.9467562)	3.41e-07	3.41e-07
SAMEA5818809	MAN008	[1283:1390]	[-738:-631]	Germany	Bavaria	51.0834196	10.4234469	48.9467562	11.4038717	Second Pandemic	1.PRE	1.PRE1	SAMEA5818809	KEEP: SRA Ancient	1	Europe	1336.5	684.5	53.5	48.9467562	11.4038717	Human	#8000ff	4.0	POINT (11.4038717 48.9467562)	3.3288999999999996e-06	3.3288999999999996e-06
SAMEA5818808	LBG002	[1455:1632]	[-566:-389]	Germany	Bavaria	51.0834196	10.4234469	48.9467562	11.4038717	Second Pandemic	1.PRE	1.PRE1	SAMEA5818808	KEEP: SRA Ancient	1	Europe	1543.5	477.5	88.5	48.9467562	11.4038717	Human	#8000ff	4.0	POINT (11.4038717 48.9467562)	1.21154e-05	1.21154e-05
SAMEA5818806	LAI009	[1300:1400]	[-721:-621]	Russia	Tatarstan	64.6863136	97.7453061	55.44821700000001	50.4763591	Second Pandemic	1.PRE	1.PRE0	SAMEA5818806	KEEP: SRA Ancient Placement	1	Europe	1350.0	671.0	50.0	55.44821700000001	50.4763591	Human	#8000ff	2.0	POINT (50.4763591 55.44821700000001)	2.33e-08	2.33e-08
SAMEA5818805	ELW098	[1485:1627]	[-536:-394]	Germany	Baden-Württemberg	51.0834196	10.4234469	48.5908946	9.0399498	Second Pandemic	1.PRE	1.PRE1	SAMEA5818805	KEEP: SRA Ancient	1	Europe	1556.0	465.0	71.0	48.5908946	9.0399498	Human	#8000ff	1.0	POINT (9.0399498 48.5908946)	7.941300000000001e-06	7.941300000000001e-06
SAMEA5818803	BRA001	[1618:1648]	[-403:-373]	Germany	Brandenburg	51.0834196	10.4234469	52.84554920000001	13.2461296	Second Pandemic	1.PRE	1.PRE1	SAMEA5818803	KEEP: SRA Ancient	1	Europe	1633.0	388.0	15.0	52.84554920000001	13.2461296	Human	#8000ff	1.0	POINT (13.2461296 52.84554920000001)	1.43961e-05	1.43961e-05
SAMEA5818801	BED034	[1560:1635]	[-461:-386]	England	Greater London	52.5310214	-1.2649062	51.4893335	-0.14405508452768728	Second Pandemic	1.PRE	1.PRE1	SAMEA5818801	KEEP: SRA Ancient	1	Europe	1597.5	423.5	37.5	51.4893335	-0.14405508452768728	Human	#8000ff	5.0	POINT (-0.1440550845276873 51.4893335)	2.4014200000000005e-05	2.4014200000000005e-05
SAMEA5818800	BED030	[1560:1635]	[-461:-386]	England	Greater London	52.5310214	-1.2649062	51.4893335	-0.14405508452768728	Second Pandemic	1.PRE	1.PRE1	SAMEA5818800	KEEP: SRA Ancient	1	Europe	1597.5	423.5	37.5	51.4893335	-0.14405508452768728	Human	#8000ff	5.0	POINT (-0.1440550845276873 51.4893335)	2.3239600000000004e-05	2.3239600000000004e-05
SAMEA5818799	BED028	[1560:1635]	[-461:-386]	England	Greater London	52.5310214	-1.2649062	51.4893335	-0.14405508452768728	Second Pandemic	1.PRE	1.PRE1	SAMEA5818799	KEEP: SRA Ancient	1	Europe	1597.5	423.5	37.5	51.4893335	-0.14405508452768728	Human	#8000ff	5.0	POINT (-0.1440550845276873 51.4893335)	2.4271000000000005e-05	2.4271000000000005e-05
SAMEA5818798	BED024	[1560:1635]	[-461:-386]	England	Greater London	52.5310214	-1.2649062	51.4893335	-0.14405508452768728	Second Pandemic	1.PRE	1.PRE1	SAMEA5818798	KEEP: SRA Ancient	1	Europe	1597.5	423.5	37.5	51.4893335	-0.14405508452768728	Human	#8000ff	5.0	POINT (-0.1440550845276873 51.4893335)	2.4480400000000004e-05	2.4480400000000004e-05
