Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
D24	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/D24/D24.bam	130105.0	130105.0	10242795.0	10242264.0	0.0	0.0	36.998	0.0125	2.1207	100.0
D25	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/D25/D25.bam	2906.0	2906.0	212765.0	212746.0	0.0	0.0	36.6294	0.0132	0.0441	100.0
D51	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/D51/D51.bam	642107.0	642107.0	44642395.0	44639411.0	0.0	0.0	36.9976	0.0139	9.243	100.0
D62	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/D62/D62.bam	315457.0	315457.0	18684648.0	18683962.0	0.0	0.0	36.9986	0.013	3.8686	100.0
D71	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/D71/D71.bam	1630634.0	1630634.0	111040378.0	111035214.0	0.0	0.0	36.9982	0.012	22.9904	100.0
D72	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/D72/D72.bam	409292.0	409292.0	27239608.0	27238281.0	0.0	0.0	36.9982	0.0125	5.6398	100.0
D75	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/D75/D75.bam	1326098.0	1326098.0	85531898.0	85528411.0	0.0	0.0	36.9985	0.0114	17.709	100.0
P187	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/P187/P187.bam	330435.0	330435.0	25292491.0	25290628.0	0.0	0.0	36.9974	0.0114	5.2367	100.0
P212	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/P212/P212.bam	534718.0	534718.0	34417937.0	34415728.0	0.0	0.0	36.9976	0.0146	7.1261	100.0
P246	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/P246/P246.bam	8281.0	8281.0	666681.0	666589.0	0.0	0.0	36.9959	0.0113	0.138	100.0
P384	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/P384/P384.bam	95041.0	95041.0	5769382.0	5769086.0	0.0	0.0	36.9978	0.0109	1.1945	100.0
P387	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/P387/P387.bam	454502.0	454502.0	33192921.0	33189599.0	0.0	0.0	36.9964	0.0111	6.8724	100.0
R21	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/R21/R21.bam	187235.0	187235.0	11343479.0	11342992.0	0.0	0.0	36.9984	0.0123	2.3486	100.0
R36	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/R36/R36.bam	1682735.0	1682735.0	116860462.0	116854571.0	0.0	0.0	36.9981	0.0129	24.1954	100.0
R44	/2/scratch/keaton/plague-phylogeography/results/qualimap/local/R44/R44.bam	5491.0	5491.0	294475.0	294453.0	0.0	0.0	36.9057	0.014	0.061	100.0
