sample	lon
SAMEA5818830	8.4119773
SAMEA5818829	8.4119773
SAMEA5818828	8.4119773
SAMEA5818826	8.4119773
SAMEA5818825	8.4119773
SAMEA5818822	8.4119773
SAMEA5818821	8.4119773
SAMEA5818818	8.4119773
SAMEA5818817	11.4038717
SAMEA5818815	0.4875777469166293
SAMEA5818811	11.4038717
SAMEA5818809	11.4038717
SAMEA5818808	11.4038717
SAMEA5818806	50.4763591
SAMEA5818805	9.0399498
SAMEA5818803	13.2461296
SAMEA5818801	-0.14405508452768728
SAMEA5818800	-0.14405508452768728
SAMEA5818799	-0.14405508452768728
SAMEA5818798	-0.14405508452768728
SAMEA5054093	2.3435684
SAMEA5054092	10.7389701
SAMEA5054090	5.444139099999999
SAMEA5054089	5.444139099999999
SAMEA3937654	50.4763591
SAMEA3937653	1.5745043
SAMEA3713715	6.0638505999999985
SAMEA3713714	6.0638505999999985
SAMEA3713713	6.0638505999999985
SAMEA3713712	6.0638505999999985
SAMEA3713711	6.0638505999999985
SAMN00715800	-0.14405508452768728
SAMEA7293136	12.766231199999998
SAMEA7293135	45.6985005
SAMEA7313236_38	40.7957942
SAMEA7313243_45	40.7957942
SAMEA7313246_49	18.1099
SAMEA6651390	25.24953400167952
SAMEA6637004	25.24953400167952
SAMEA6637002	25.24953400167952
D51	9.234625027778005
D62	9.13180637450161
D71	9.13180637450161
D72	9.13180637450161
D75	9.13180637450161
P187	9.234625027778005
P212	9.234625027778005
P387	9.234625027778005
R36	9.13180637450161
