# BEAST v1.10.4
# Generated Sun Apr 18 18:08:54 EDT 2021 [seed=1618783733913]
# -overwrite beast.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	location.precision.col11	location.precision.col12	location.precision.col21	location.precision.col22	correlation	location.varCovar.location.precision.col11	location.varCovar.location.precision.col12	location.varCovar.location.precision.col21	location.varCovar.location.precision.col22	location.diffusionRate	treeLikelihood	branchRates	location.traitLikelihood	coalescent
0	-1.533269034325952E8	-168266.34710309765	-1.531586370854921E8	4055.98126	25541.08488014764	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	0.3333333333333333	0.9943931598842736	0.29294066131897695	-0.13157693446823424	0.05	0.002	0.002	0.05	-0.04	20.03205128205128	-0.8012820512820512	-0.8012820512820512	20.03205128205128	3.6024079107635196	-1.5305396618243748E8	-195.6011502714073	-104670.90305461378	-168000.23954655783
1000	-1.5293694862786552E8	-9377.170294136944	-1.529275714575714E8	4055.98126	25541.08488014764	18.588528766403105	3.246873139728425	0.25803170932833125	0.23932108364834268	0.2415726982264657	0.2610745087968603	1.0	0.16330891374639642	1.0706772855517377	0.13891983837851715	0.0861465339785653	1.3315945865729703E-4	-9.919894954323427E-6	-9.919894954323427E-6	5.580156485340305E-6	0.3639132544499979	8656.15218375858	15388.120493951672	15388.12049395167	206562.04568323644	5.613077785535565	-1.529272913023756E8	-195.6011502714073	-280.1551957788556	-9110.9084968881
2000	-1.529242842560409E8	-578.4983254277424	-1.5292370575771546E8	4055.98126	25541.08488014764	1410.083505033071	6.251734246461332	0.26351744841109526	0.23279203470611134	0.23930194058612203	0.2643885762966713	1.0	0.09938255065151791	0.9673489486704501	0.09509779120201577	-0.0839224422423514	8.081074409240623E-5	-5.092880785322809E-6	-5.092880785322809E-6	1.1628510478257178E-5	0.16613721008838986	12725.845504704084	5573.475138460524	5573.475138460523	88436.52386631972	4.528937554137657	-1.52923431249293E8	-195.6011502714073	-274.50842246343126	-300.4271551869569
3000	-1.5292212940883127E8	-534.4637181525723	-1.5292159494511312E8	4055.98126	25541.08488014764	7208.012915522344	16.10502562644616	0.261969599003209	0.2343398841139976	0.23930194058612203	0.2643885762966713	1.0	1.2802830730526538	1.103574723872239	1.199495255858283	-0.23098036280923995	5.1221186770060866E-5	-5.019446889321041E-6	-5.019446889321041E-6	1.3285194209461583E-5	0.1924186180620258	20273.807422344526	7659.903046679306	7659.903046679306	78165.84839840599	5.190486982846249	-1.5292132697881606E8	-195.6011502714073	-267.9662970469639	-245.38114243041795
4000	-1.5292206867172846E8	-535.4182166730643	-1.529215332535118E8	4055.98126	25541.08488014764	8390.62478240892	15.98045108789286	0.2621121313696835	0.2343398841139976	0.2391594082196475	0.2643885762966713	1.0	1.1907309118498122	0.7972012473941427	1.1760199418844417	0.06396187113946594	9.724772445487711E-5	-1.6654288460584288E-6	-1.6654288460584288E-6	2.124176079241269E-5	0.036643006677496905	10296.84263406035	807.3087214226448	807.3087214226449	47140.37244925573	3.988881364216579	-1.5292127124578276E8	-195.6011502714073	-262.0077290167578	-245.8941320422258
5000	-1.0322065949272473E8	-617.8614024245562	-1.0322004163132231E8	4055.98126	25541.08488014764	5793.128592984278	42.868524952759834	0.25923662444936707	0.24000140776444892	0.238867027577205	0.26189494020897885	1.0	28.389698589968525	0.03322089010619092	2.174149384145312	0.27817333019174634	2.5128236868069586E-4	-2.707968494315497E-5	-2.707968494315497E-5	1.769135939986907E-5	0.4061458275999275	4765.7121582803575	7294.746596858479	7294.746596858479	67690.63996246338	4.384528584886678	-1.032197806620379E8	-195.6011502714073	-260.9692844139279	-245.61060969858053
6000	-6149056.948612366	-43011.61339059022	-6106045.335221776	4055.98126	25541.08488014764	7478.384151473374	233.89617928567066	0.25923662444936707	0.24080640105022583	0.238867027577205	0.261089946923202	1.0	14157.671725589718	1.9411812621308087E-6	1.9659602854830074	-0.023824284809816264	1.6047820620554432E-4	8.274675845261063E-6	8.274675845261063E-6	2.0035747317684346E-5	-0.14592852272678317	6366.961020576784	-2629.5270013803765	-2629.527001380377	50996.7742835796	4.858830399365283	-6105788.431829337	-195.6011502714073	-256.90339243831494	-245.45907859879898
7000	-5969598.63472781	-37866.156107497234	-5931732.478620312	4055.98126	25541.08488014764	5405.978228053126	154.6067334132876	0.2623820577177571	0.2365235366054777	0.2400044587535631	0.261089946923202	1.0	12443.533915930197	2.911226548837837E-7	3.36753946949441	-0.05611510992348746	1.9443857507945325E-4	-4.284363773723069E-5	-4.284363773723069E-5	3.3594113989731815E-5	0.5301069863297653	7153.14097306412	9122.62727414016	9122.627274140163	41401.494874077034	4.142074769388459	-5931476.317070714	-195.6011502714073	-256.16154959836643	-245.9582685312804
8000	-5940675.326358495	-23906.67750313672	-5916768.648855358	4055.98126	25541.08488014764	7889.030460121371	84.39929343848644	0.2623820577177571	0.2365235366054777	0.2400044587535631	0.261089946923202	1.0	7790.562906576557	1.6002817329290661E-7	4.9601637020105676	-0.03963768047523676	3.3098480802047826E-4	-4.491427689186042E-5	-4.491427689186042E-5	3.5611189203626645E-5	0.41370154561102995	3645.150444811222	4597.41165774004	4597.41165774004	33879.503806593864	3.709263763386422	-5916517.24130201	-195.6011502714073	-251.40755334880123	-245.62613595714112
9000	-5928124.593521967	-16333.318708794839	-5911791.2748131715	4055.98126	25541.08488014764	8053.469670908854	23.758959433023612	0.2623820577177571	0.23613166378886155	0.23883263895597004	0.2626536395374112	1.0	5267.854564866894	1.1846838336675104E-7	2.302314957443666	0.05849198981316367	2.7236229020179955E-4	-3.516116439989831E-5	-3.516116439989831E-5	5.350694321691311E-5	0.29126257827371155	4011.9276571862065	2636.369028650358	2636.369028650358	20421.607723047477	3.4905691257577875	-5911539.688862225	-195.6011502714073	-251.58595094649527	-245.70706105549576
10000	-5923959.686359783	-14463.120021841889	-5909496.566337941	4055.98126	25541.08488014764	6955.564701837819	11.615245642572836	0.2623820577177571	0.23613166378886155	0.23947221268792832	0.26201406580545294	1.0	4642.799281741537	1.0052946636970002E-7	1.7437933386453852	0.140065557038931	4.540509989382186E-4	-4.229237774509514E-5	-4.229237774509514E-5	2.4562784996693106E-5	0.4004709162651304	2623.076848340193	4516.432356483699	4516.432356483699	48488.42113957863	4.057399162565402	-5909240.638111305	-195.6011502714073	-255.9282266359106	-245.33578967926823
11000	-5922667.422545286	-13649.775097082185	-5909017.6474482035	4055.98126	25541.08488014764	7388.120049775769	4.4043255711792275	0.2630385753238807	0.23613166378886155	0.2388156950818047	0.26201406580545294	1.0	4369.368402432387	9.905022819584382E-8	1.8572605407175107	0.21124410770961244	3.1699025959685585E-4	-2.692320006192037E-5	-2.692320006192037E-5	5.1099208787562095E-5	0.21154201255697358	3302.4560499594077	1740.001206249565	1740.0012062495648	20486.54813689893	3.5001154749272585	-5908777.003360644	-195.6011502714073	-240.64408755916605	-245.42995538271168
12000	-5919403.302480367	-11919.142088497048	-5907484.16039187	4055.98126	25541.08488014764	5810.360346568775	3.2169441794175877	0.2626386372244453	0.23653160188829692	0.2388156950818047	0.26201406580545294	1.0	3800.0718894192078	8.413141732687857E-8	2.1881514940617697	-0.07531370465798105	0.001307446927592061	-7.214210725619316E-5	-7.214210725619316E-5	1.298475384707308E-4	0.17508942998700724	789.0384062476213	438.3825369597031	438.3825369597031	7944.901013530803	2.9428202026125008	-5907245.038678532	-195.6011502714073	-239.12171333881543	-245.59885733099412
