population	total_length	mean_dist_to_root	ratio	internal_prop	external_prop
1.ORI	2.44e-04	4.96e-06	0.22	0.18	0.82
1.IN	9.14e-05	3.34e-06	0.17	0.14	0.86
1.ANT	3.07e-05	1.29e-05	0.62	0.38	0.62
1.PRE	6.93e-05	1.07e-05	0.78	0.44	0.56
2.MED	6.61e-04	1.14e-05	0.23	0.19	0.81
2.ANT	1.50e-04	5.49e-06	0.69	0.41	0.59
4.ANT	2.35e-05	5.13e-06	0.71	0.42	0.58
3.ANT	2.87e-05	5.46e-06	0.72	0.42	0.58
0.ANT4	4.00e-05	1.29e-05	0.76	0.43	0.57
0.ANT	1.46e-04	1.25e-05	0.66	0.4	0.6
0.PE	1.09e-03	7.15e-05	0.42	0.3	0.7
0.PRE	1.16e-04	3.57e-05	1.0	0.5	0.5
